student_id,school_id,age_at_enrollment,gender,resource_dilution_index,socioeconomic_status_index,commute_barrier_score,digital_equity_access_score,nutritional_support_access,gpa_trend,failed_subjects_count,strength_science_indicator,chronic_health_risk_score,health_related_absences,social_integration_score,cash_flow_volatility,academic_catchup_status,psychosocial_support_access,retention_risk_score,retained,dropout_reason
36,16,15,0,3,2,14.764403432053786,1,1,-2.1917571161494527,3,0,1,3,0,0.2688958273525307,0,0,0.7658,1,
37,8,17,0,6,1,4.25771803956729,0,1,-1.6210632168908004,1,1,1,2,2,0.32,0,0,0.9382,1,
38,14,15,1,2,2,,0,1,-0.28002706102602626,2,0,1,7,0,0.3119102245060316,0,0,0.8885,0,psychosocial
39,7,15,1,5,3,,2,1,-1.8444331225308543,3,0,1,5,1,0.3092676646911822,0,0,0.8642,1,
40,11,13,1,6,1,2.9450046218652774,0,1,-1.4115661810276507,3,0,1,5,0,0.2670582209820349,0,1,0.9387,1,
41,41,15,1,0,2,1.7396889235801007,0,0,-0.6206209123115837,2,1,1,9,1,0.3115956744104604,0,,0.9223,1,
42,25,16,0,4,2,0.6086233991239492,0,1,-0.3746924114657636,0,0,1,6,2,0.2656733909969173,0,1,0.9819,1,
43,5,17,0,6,1,9.248962831612479,1,1,-1.1657074091859505,1,0,1,3,2,,0,,0.912,1,
44,21,17,1,2,3,3.3598519076906594,1,0,-0.4146543771757521,0,0,2,6,0,0.19405815631251572,0,0,0.9821,1,
45,13,16,0,3,1,6.337375643781168,,1,-1.4221265737692157,2,0,2,8,1,,0,0,0.8661,1,
46,32,17,0,6,3,4.614560349283906,2,0,0.7328331038466732,0,0,3,14,1,0.23865174642006431,0,0,0.9511,1,
47,40,13,0,4,4,8.987972063412434,2,1,-0.8851246846195502,2,0,1,2,1,0.1631712376726236,0,0,0.9772,1,
48,1,15,1,4,5,9.864171956013573,1,0,-0.46116233234031445,1,1,1,3,2,0.1856535457965459,0,1,0.9844,1,
49,22,14,1,3,1,4.206458046485113,1,1,0.5775980015172171,0,1,3,17,0,0.2732523049101428,0,0,0.9461,1,
50,22,14,0,4,1,5.818275789244561,1,1,-2.744081301150069,2,0,2,10,0,0.32,0,0,0.7888,1,
51,47,17,0,3,2,9.495307940122014,0,1,-0.613770626206925,2,0,1,2,0,0.22841428068216404,0,0,0.9602,1,
52,18,16,0,5,2,5.634998157390335,0,1,-0.35527073882548854,2,0,1,4,2,0.3013607620683528,0,1,0.9225,1,
53,8,15,0,5,2,14.694321135140799,1,0,-1.3388127882904712,2,1,1,4,0,0.24638721552930404,0,0,0.8015,0,commute_distance
54,10,17,1,8,3,4.800123609851328,1,1,-1.512878071167677,1,1,2,13,2,0.19451039149185187,0,0,0.9138,1,
55,23,14,0,5,2,5.761781623786641,0,1,-3.164816323226238,5,1,1,5,1,0.2578064427423656,1,0,0.5032,1,
56,28,17,0,8,1,11.87362720272064,1,1,-2.017569482209104,4,0,1,1,0,0.24200780060354105,1,0,0.5325,0,household_pressure
57,16,14,1,2,1,3.469939384114086,1,1,-0.5224745534226343,2,0,2,7,0,0.23809494102769704,0,1,0.9311,1,
58,21,14,1,5,1,6.33852438480172,1,1,-1.0161925883757752,2,0,1,4,1,0.24885531361669688,0,1,0.9621,1,
59,32,16,1,2,4,6.269945092075027,1,0,0.5350944618170786,0,0,2,7,1,0.2046705119912697,0,1,0.9562,1,
60,15,17,1,8,1,17.51065490876387,2,1,-1.3852799038951087,1,0,2,11,2,0.3095083013062856,0,0,0.7817,0,household_pressure
61,46,13,0,6,1,18.96206279059204,0,1,-2.5206084030034184,3,0,2,7,1,,0,0,0.4379,0,commute_distance
62,10,16,0,6,3,,2,1,-0.7211902273352886,2,0,1,5,2,,0,0,0.8531,1,
63,44,15,1,10,1,9.131284145297048,,1,-1.2540892082606305,3,0,1,10,0,0.22506842426824208,0,1,0.8058,1,
64,42,17,1,3,3,3.5532919414908224,0,1,-1.4850184813388543,2,0,2,17,1,0.2705331742438183,0,1,0.9533,1,
65,45,16,1,4,1,5.4908157233906145,0,1,-1.727885987643895,2,0,1,1,1,0.2574139211074309,0,0,0.9133,1,
66,38,13,0,6,3,10.727167867360942,0,1,-0.08671432907371379,1,0,1,7,1,0.2788369793829953,0,,0.9542,1,
67,25,16,0,2,2,,0,1,-2.0873964838325283,3,0,1,3,1,0.21949697650848893,0,0,0.6107,1,
68,29,17,1,5,1,0.6456165315336903,0,0,-0.6568698986436534,2,0,2,13,0,0.32,0,0,0.7846,1,
69,10,13,1,4,3,3.00176750518119,0,1,-0.49092574227487906,2,0,1,6,1,0.23962195948212534,0,1,0.942,1,
70,17,16,1,5,1,1.2949951406258533,0,1,-1.860373933380793,1,0,1,6,1,0.32,0,1,0.8439,1,
71,22,13,1,5,4,5.446590720435432,2,1,-0.024595073683195634,1,0,1,3,2,0.19634122348971686,0,0,0.9863,1,
72,45,13,1,4,5,,0,0,0.7149145630785988,1,0,1,8,0,0.20835882120043103,0,1,0.9662,1,
73,38,14,1,6,1,,1,1,-0.32758661371838094,1,1,1,5,2,,0,0,0.9855,1,
74,27,15,0,2,2,5.8284932824149935,0,0,-0.8520155105181777,2,0,1,1,1,0.32,0,0,0.8827,1,
75,28,16,1,3,3,5.134773473204393,1,1,-1.2590541045273027,1,1,2,12,0,0.27813898183518726,0,,0.9379,1,
76,21,13,0,7,2,2.4760091466506013,2,1,-2.0237298866474993,1,0,1,5,2,0.32,0,0,0.9559,1,
77,20,13,0,5,3,4.240866735145434,0,1,0.07278075329302125,1,0,2,10,1,0.2543725425295701,0,1,0.9856,1,
78,43,16,1,6,1,4.31616475356792,1,1,-0.9920907586495624,3,0,1,4,1,0.2273064449700316,0,0,0.8565,1,
79,1,14,0,6,2,2.9421228705993667,2,1,0.0708016990009897,0,0,2,13,1,0.32,0,0,0.983,1,
80,16,15,0,7,2,6.981953216418417,,1,-1.2554347888804251,1,0,1,3,0,0.24698672514616968,0,0,0.8903,1,
81,20,15,0,6,3,14.769484435812904,2,1,-0.4919240224126168,1,0,1,6,1,0.28450970940179865,0,0,0.9376,1,
82,33,15,1,4,3,3.5044193361339153,2,1,-1.8206101583477925,2,0,1,2,0,0.2314624005431659,0,0,0.9052,0,other
83,20,14,0,7,3,7.55682790683216,0,0,-1.206362871526638,1,0,3,17,2,0.280484862178898,0,0,0.9388,0,health_related
84,15,17,1,7,4,7.11736577801119,2,1,1.0206241351665999,0,0,1,4,1,0.18362906687221733,0,1,0.9806,1,
85,4,13,0,5,5,2.3422907208204493,0,0,-0.9198530133326741,0,0,1,11,2,0.16898842389704408,0,1,0.96,1,
86,13,16,1,5,1,17.941787642651263,0,0,-0.8556705301600961,1,0,1,5,1,0.29211207777422354,0,1,0.7848,1,
87,5,15,1,3,3,,,1,-0.7215934812327711,3,0,1,3,1,0.2221866054221756,0,0,0.901,1,
88,33,13,1,5,2,13.278184599738093,1,1,-1.7981123707607116,1,0,1,4,1,0.28664266678851846,0,1,0.7878,0,commute_distance
89,21,17,0,5,2,5.556320572406422,0,1,0.07579591231899807,1,0,1,2,1,0.24115392776081865,0,,0.9807,1,
90,11,16,1,4,4,,1,1,-0.6928002374771758,1,0,1,3,1,0.2473716188147188,0,0,0.972,1,
91,26,13,0,2,3,7.302815859429366,0,1,-0.9716826266476379,0,1,2,8,0,0.2220707236414412,0,0,0.8981,1,
92,24,15,0,1,2,,1,1,0.918332210496108,0,1,1,2,0,0.304619684193533,0,0,0.9602,1,
93,23,13,1,5,1,,0,1,-2.116163692262407,2,0,1,6,0,0.2643838724694769,0,0,0.6346,0,psychosocial
94,28,13,1,5,4,16.57366122486976,1,0,-0.15798284388985712,1,1,1,5,0,0.24781266331123503,0,0,0.7879,1,
95,30,14,1,8,4,7.817695054732423,1,1,-1.4338477187588967,3,0,3,16,1,0.2607863788208989,0,1,0.8155,1,
96,9,14,0,3,3,8.978219971709757,0,0,-0.8229847765295136,1,0,1,4,0,0.27584646049275763,0,0,0.9355,1,
97,8,17,1,8,4,5.556202609327058,1,0,-0.21115205097343448,2,0,1,6,1,0.25150088239887586,0,0,0.903,1,
98,35,15,1,2,1,2.6866093715996557,1,1,-0.3540036153077204,0,0,1,13,1,0.29981386112274033,0,0,0.9396,1,
99,46,15,0,0,2,3.376320250292291,1,1,1.177197406164915,0,0,2,15,0,0.3065009434614137,0,0,0.9528,1,
100,26,17,1,7,2,3.7708374629642822,,0,-2.4383905909047443,3,0,1,8,1,0.31818734803028065,0,0,0.7244,1,
101,22,13,1,7,4,7.136540347932407,2,0,-1.2153514861966235,2,1,1,4,2,0.18766953094980657,0,1,0.903,1,
102,30,17,0,5,1,6.505384823438932,0,1,-2.1390307733636638,2,0,1,4,0,0.2594492272129236,0,0,0.7179,0,psychosocial
103,2,13,1,0,1,9.316402144129233,1,1,-2.48958740571502,3,0,2,9,3,0.2829815317374649,0,1,0.738,1,
104,18,13,0,3,5,2.2688284902838065,,1,-0.7178898949751052,1,0,1,2,2,0.20758682408070286,0,0,0.9851,1,
105,17,13,0,2,1,,0,1,-1.396630795874409,2,0,1,2,1,0.32,0,,0.9115,1,
106,20,15,1,7,4,2.2942121926312558,0,1,-0.392178186985466,1,0,1,1,3,0.26967689561286246,0,1,0.9892,1,
107,35,17,0,4,2,20.0,0,1,-1.0851800258883122,2,0,3,17,1,0.29780700613432276,0,0,0.4691,0,health_related
108,24,17,1,4,4,8.338250133252018,0,0,-0.723920414068115,2,0,2,6,2,0.2648622335994984,0,,0.9002,1,
109,41,13,0,8,1,17.58094728672795,0,0,-1.8978320399786304,1,0,1,7,1,0.3076805369392227,0,0,0.4681,0,household_pressure
110,23,16,0,8,4,3.443930437204897,0,1,0.16934475251795417,0,0,1,5,2,0.23503806909459668,0,1,0.984,0,household_pressure
111,2,17,1,6,5,,0,0,-0.803312011141643,1,0,1,6,1,0.2279478648431804,0,,0.8859,1,
112,32,17,0,7,3,2.657765371912865,1,1,-0.7119284504516147,0,0,1,5,1,0.25221576091621767,0,0,0.9575,1,
113,38,14,1,3,2,9.36818042023614,0,1,-0.7641511472752188,0,0,1,3,0,0.264988820901211,0,,0.959,1,
114,28,15,1,2,5,8.491495553071154,2,1,0.11595654046275922,0,0,1,7,1,0.2191419262869825,0,0,0.9706,1,
115,45,14,1,7,4,1.233118957961113,2,1,0.2050097226151754,0,0,2,7,1,0.21441508836694248,0,1,0.9882,1,
116,20,14,1,6,3,3.158673956341341,1,1,-1.8750153374689187,3,1,1,2,0,0.2979113994600683,0,0,0.9478,1,
117,38,17,1,8,2,9.877156183058549,1,1,-1.5819982102018424,2,0,1,7,1,0.23957771411769824,0,0,0.9114,1,
118,1,15,0,3,4,0.8333751045991856,2,1,-0.7187903321449409,2,0,1,4,2,0.24629484723067813,0,0,0.9922,1,
119,2,15,0,3,5,14.099895861227088,2,1,0.0892251669814284,1,0,1,5,1,0.24686253615866233,0,1,0.9406,1,
120,38,15,0,6,3,6.2366631773064505,0,0,-1.9624780351617062,4,1,2,6,0,0.2777845815778014,1,0,0.8498,1,
121,42,14,1,4,2,4.680453418270451,,1,-0.6466797167871678,0,0,1,3,1,0.30968373234759083,0,0,0.9269,1,
122,25,17,1,8,5,3.7938434213562946,2,1,-1.899293323179396,2,0,1,6,2,0.1790552425670485,0,,0.9752,1,
123,36,15,0,5,1,6.34423250485735,0,1,-3.2702208139806705,3,0,1,6,2,,0,0,0.7587,1,
124,16,14,1,2,2,7.017140947643336,,1,-1.4219067028742123,2,0,1,4,1,0.2961349233428386,0,0,0.8632,1,
125,35,15,0,6,5,,2,0,-0.7329168493848383,1,1,1,7,0,0.227673007398683,0,0,0.9875,1,
126,24,14,1,4,3,6.729591318074063,0,1,-0.6209716881952736,1,0,2,9,1,0.22062926448960335,0,1,0.9495,1,
127,15,15,1,2,1,15.70312889636307,0,0,-0.8965447673944542,2,0,1,4,0,0.2672759840737946,0,0,0.584,1,
128,5,16,1,5,3,7.586913128057306,0,1,-0.5344976120535849,1,0,1,4,1,0.29798860296270546,0,1,0.9701,1,
129,9,17,0,3,5,2.0419705670704738,0,1,-0.8629469009741031,1,0,1,5,1,0.19928552733811156,0,1,0.9883,1,
130,43,15,1,4,5,8.540235266685267,0,1,-0.43167479283224547,1,0,1,3,1,0.18746295739356778,0,0,0.9684,1,
131,21,16,1,6,2,6.5265622564659465,1,1,-1.6883061156946821,2,0,1,4,0,,0,0,0.9389,1,
132,47,15,1,4,1,6.877497013818516,,1,-0.6476547607639263,0,0,1,3,1,0.3193073508115051,0,,0.9422,1,
133,17,13,1,2,2,11.161305859125696,0,1,-2.0825493246511266,1,0,2,7,1,0.291443963309884,0,0,0.9312,1,
134,3,17,0,5,1,,1,0,-1.9750985554037734,3,0,1,6,0,0.32,0,0,0.6718,1,
135,13,17,1,5,1,2.318587337922419,2,1,-2.976873104437307,3,0,1,3,2,0.23369887764877972,0,0,0.8621,1,
136,17,16,0,4,2,,2,0,-2.543033481420241,4,0,2,11,0,0.24023430959248682,1,1,0.7987,1,
137,33,13,0,2,4,2.637052955976903,1,0,-0.9902404708407401,2,0,1,5,2,0.22163433916841796,0,1,0.9154,1,
138,35,16,0,6,3,6.0165169508332355,0,1,-0.6826044227590264,1,0,1,8,0,,0,0,0.9441,1,
139,35,14,1,1,1,15.53282101935903,0,1,0.16030061231034742,1,0,1,3,0,0.32,0,0,0.859,1,
140,15,17,1,3,4,11.906800408662885,1,1,-0.8201087399105939,1,0,1,5,1,0.26845961996297374,0,0,0.8906,1,
141,18,13,1,8,2,10.38903513523218,0,1,-1.1424396066342273,2,0,1,8,1,0.27133395470006766,0,1,0.7375,1,
142,27,16,0,4,1,6.466250690090296,1,1,-2.7212612149347817,4,0,1,8,0,0.32,1,0,0.604,1,
143,29,14,1,7,3,3.924448200909621,1,1,0.15581213221333223,1,0,1,6,1,0.27500895673967735,0,1,0.9595,0,household_pressure
144,20,17,1,2,1,10.526432068506157,0,1,-1.1465515246768887,0,0,1,5,0,0.32,0,0,0.9354,1,
145,9,16,0,6,1,3.743939955991946,0,1,-1.680235514848711,3,0,1,5,1,0.2696041572805237,0,0,0.8424,1,
146,37,16,0,6,4,10.32004695180354,2,0,-0.2580051546647294,0,0,1,7,2,0.21454328614935494,0,,0.9547,1,
147,25,15,1,7,2,6.349628525834606,0,1,-2.713181756529422,2,0,1,5,1,0.27343655128596256,0,1,0.9028,1,
148,46,15,1,2,3,6.9442417143367265,0,0,-2.0249296508718038,1,1,1,6,0,0.23899163962787903,0,0,0.9075,1,
149,45,16,1,4,2,,0,1,-1.0133277150670446,2,1,1,6,1,0.31915710960156163,0,0,0.8657,0,financial_instability
150,42,14,0,5,5,1.3683257644722815,2,0,-0.8744680518106346,1,0,2,11,1,0.16628784658257123,0,0,0.9623,1,
151,46,15,1,6,1,2.9019424958867184,2,1,-4.0,7,0,1,3,0,0.25850160699691815,1,0,0.5194,0,academic_performance
152,30,14,0,5,5,12.172148878466725,2,1,1.054176267224661,0,0,1,9,0,0.18325992045647976,0,0,0.9543,0,psychosocial
153,15,14,1,5,3,,0,1,-0.6561598811192464,2,0,1,6,1,0.30474220266789154,0,1,0.9312,1,
154,8,15,0,2,5,1.532810818263507,0,0,0.9172708839615995,2,0,2,14,1,0.2361035222578485,0,1,0.981,1,
155,5,16,0,7,1,16.10526669091656,0,1,-2.9663890235453407,4,0,3,15,0,0.32,1,1,0.6437,1,
156,45,13,0,3,2,9.367096236053122,0,1,-1.885778240344793,5,0,1,1,2,0.31413298804836065,1,0,0.8007,1,
157,13,17,1,2,1,2.350599445171259,2,1,-2.5570087438847997,4,0,3,28,1,0.28940682216452923,1,0,0.5614,1,
158,2,13,0,1,5,20.0,2,1,0.03969139900880525,0,0,2,9,2,0.22825229367321742,0,0,0.945,1,
159,2,15,0,4,2,3.053285002797357,1,1,-2.2454103600534987,3,1,1,4,2,0.2940991363780804,0,0,0.8042,1,
160,14,16,0,5,1,6.004031529403907,1,1,-1.8395920760045559,2,0,1,3,0,0.264635791548602,0,0,0.86,1,
161,47,14,0,2,3,6.648559682156441,2,1,-1.0523434350218879,1,0,1,6,0,0.24422302984766137,0,0,0.9686,1,
162,14,16,1,6,4,4.503539898048557,2,0,-0.7709599592849421,2,0,1,4,1,0.26081656332802244,0,0,0.9676,1,
163,5,15,1,4,3,18.76764998965828,1,1,-1.6404416490540152,3,0,1,0,2,,0,0,0.8847,1,
164,32,13,0,6,1,2.827860268241709,1,1,-2.1484056304904557,1,0,3,12,1,0.30571781229721423,0,0,0.8482,0,health_related
165,3,17,1,5,2,4.089372921402929,0,1,-1.6201313294896886,2,1,2,11,0,0.32,0,,0.8497,1,
166,23,13,1,8,3,8.038302000356484,0,1,-3.020228756917458,4,1,1,6,1,0.2538364568757246,1,1,0.8961,1,
167,5,13,0,4,2,9.240218361652385,0,1,-2.371529156788024,4,0,1,2,0,0.20585026915772286,1,,0.8959,1,
168,5,16,0,4,1,4.548519846851306,1,1,-1.3383789193678644,2,1,2,11,1,0.2364117486078574,0,,0.9499,1,
169,17,13,0,5,2,2.6725119798829184,0,1,-1.7222676647772928,4,0,1,4,2,0.2885832196276436,1,0,0.8399,1,
170,1,15,0,2,2,8.028017234974552,1,1,-1.6356554428366041,3,0,1,6,1,0.32,0,1,0.9499,1,
171,40,13,1,2,1,6.943329241466948,1,0,0.3036862211809104,0,0,1,6,1,0.32,0,0,0.959,1,
172,29,15,1,7,3,7.89335780350173,0,1,-1.840346842807896,3,0,2,13,0,0.2781142432068384,0,1,0.6878,0,health_related
173,44,17,1,2,4,8.986328823929043,0,1,-1.1117304628749372,1,0,1,5,1,,0,1,0.9609,1,
174,24,13,0,1,1,3.101746803704765,,0,-1.174373801984406,2,0,3,14,0,0.2243437955784152,0,0,0.8281,1,
175,27,15,1,3,4,8.557776993425254,1,0,-0.4225722000380693,2,0,1,2,1,0.24896907823202996,0,0,0.9292,1,
176,29,17,0,3,2,2.817930255756741,0,0,-2.506031968698487,4,0,1,5,1,0.32,1,0,0.6493,1,
177,22,14,1,5,2,3.9306909466295097,0,1,-0.1513308239534359,2,0,1,6,1,0.3167512030597277,0,0,0.8814,1,
178,27,14,0,5,3,12.53634860152018,,1,-1.1605234125085206,1,1,1,5,1,0.22152343628194526,0,1,0.9584,0,commute_distance
179,27,15,0,8,1,7.63799705823943,2,1,-1.49682237527533,2,0,1,3,0,0.2869209684755419,0,0,0.8873,1,
180,42,14,1,4,2,4.2905957171936135,0,1,-2.9484588796821836,4,0,1,9,0,0.3017347890229122,1,1,0.748,1,
181,15,13,0,7,4,8.883743297756237,1,0,-1.02314006986078,1,0,1,5,1,0.23944098023593519,0,1,0.96,1,
182,44,15,1,4,2,8.800353577104643,0,1,-1.8824523796762194,3,1,1,10,1,0.28137237054181247,0,1,0.8715,1,
183,9,17,0,6,5,9.915203324049212,0,1,-0.5370431017618416,1,1,1,3,2,0.17989595381238785,0,1,0.9711,1,
184,9,15,0,7,2,8.251070683927793,0,0,0.193983974793983,1,0,1,2,2,0.2091275575946006,0,1,0.9351,1,
185,12,14,1,7,1,15.598284412456279,0,0,-1.9917618256974785,2,0,1,9,0,0.253350324936404,0,0,0.6514,1,
186,45,17,0,4,3,6.395651259458855,2,1,0.15905674181092586,0,1,1,9,1,0.2718033017257295,0,0,0.991,1,
187,12,13,0,2,4,6.059008087045475,0,1,0.07904938181930005,1,0,1,6,1,,0,0,0.9747,1,
188,38,14,0,9,4,12.734670154463153,1,0,-0.917026854301531,2,0,1,5,1,0.27066195112427927,0,0,0.8095,1,
189,28,17,1,6,1,,0,1,-0.09008662576199633,1,0,1,5,2,0.2631935875373673,0,0,0.9176,1,
190,31,13,0,5,1,,0,1,-3.0352860232156775,5,0,1,3,0,0.25613810497056455,1,0,0.3021,0,academic_performance
191,4,17,0,9,2,4.416909147089708,1,1,-0.9502976503379145,0,0,3,20,0,,0,0,0.8626,1,
192,32,13,0,4,2,0.6038099513699264,0,1,-0.8807177700630803,2,0,1,5,1,0.208581812166276,0,0,0.9378,1,
193,4,14,0,6,1,11.83765436890546,0,1,-3.220562005623091,4,0,1,7,1,0.28357523305932564,1,0,0.5496,0,academic_performance
194,26,16,1,8,1,1.8816794105769887,0,0,-1.165043773112135,0,0,1,3,0,0.2696528998110191,0,1,0.7834,1,
195,37,16,1,5,4,4.684499216843235,,1,-1.371076008160403,3,0,1,6,1,0.1933644654244684,0,1,0.9143,1,
196,44,14,0,6,2,,1,1,-1.9454797311048022,2,0,1,6,2,0.32,0,0,0.8008,1,
197,47,14,1,2,5,,1,1,-0.7475905324457068,2,0,2,9,0,0.15642506776867102,0,0,0.9847,1,
198,11,17,1,4,3,7.552667298311069,1,0,-2.1271173251301154,2,0,1,6,3,0.28489247821585445,0,0,0.9362,1,
199,37,15,1,4,1,12.736835712608329,2,1,0.06390544419681898,1,0,1,6,0,0.2226528172093418,0,0,0.9173,1,
200,29,13,0,6,3,8.690044855210356,1,0,-1.4511506455829006,3,0,1,4,3,0.20431971132489216,0,0,0.8426,1,
201,35,16,1,5,1,6.463050366356736,1,1,-2.127634397532289,3,0,1,8,1,,0,0,0.8936,1,
202,39,15,1,2,2,3.0357300512735623,0,1,-0.4613698516773869,1,1,1,3,2,0.20503408864628042,0,0,0.9806,1,
203,23,13,0,5,2,12.876111518706256,0,1,0.6878343327521217,0,0,1,3,3,0.23182051787639824,0,1,0.9624,1,
204,7,16,1,5,1,3.2254193634760098,0,1,-1.5457282957065255,1,0,1,4,0,0.23502056992753903,0,0,0.9405,1,
205,38,15,0,6,5,1.9183299066022101,2,1,0.15551161204893013,1,0,2,12,0,0.18381816393237152,0,0,0.9889,1,
206,29,15,0,7,2,16.71058537215987,2,1,-0.30622922612504766,2,1,1,1,1,0.30320836246798427,0,0,0.764,1,
207,7,17,0,5,3,5.290283558470192,0,1,-2.271697542979189,1,0,1,3,0,0.22043774177379744,0,0,0.8846,0,psychosocial
208,19,15,1,1,2,8.94189826621529,1,1,-0.37818161798978883,1,0,1,5,1,0.28932628822767986,0,0,0.9456,1,
209,7,13,1,4,3,3.9442966284370313,1,1,-2.327852667742251,4,0,1,3,0,0.2013623586843472,1,0,0.8108,1,
210,37,17,1,3,4,,,1,-1.0071078116995962,2,0,1,3,3,0.181153270909252,0,1,0.9289,1,
211,16,14,0,9,1,7.324688974873434,2,0,-2.5391485461675147,2,0,1,4,1,,0,0,0.6538,0,household_pressure
212,4,15,1,2,2,6.935926426736645,2,1,-1.5731528033223312,3,0,3,14,1,0.28990845086259065,0,1,0.8713,1,
213,14,15,1,8,3,8.43774468329,0,1,0.2716169435016497,0,1,1,6,3,0.20797516853212297,0,0,0.9835,1,
214,29,17,0,9,1,7.952927389467335,0,1,-0.26676700164352096,1,0,1,4,1,0.25556540552620927,0,0,0.8881,1,
215,28,13,0,8,3,3.098260455031521,1,1,-1.2396500842487264,3,0,2,12,0,0.2822331556400118,0,0,0.8283,0,health_related
216,41,14,0,5,5,3.7706196801768144,2,1,0.2833109636033925,0,0,1,2,0,,0,,0.9887,1,
217,17,14,0,6,4,3.5203313764177215,1,1,-1.7709699578393536,3,0,3,21,1,0.2574873535155501,0,0,0.8128,1,
