student_id,school_id,socioeconomic_status_index,retained,dropout_reason,persona_id,persona,academic_risk_index,barrier_burden_index,economic_instability_index,health_burden_index,support_coverage_score
20,15,2,1,,0,Academic Strugglers,-0.5719732069187167,,0.4369416236149334,9,2.0
21,8,1,1,,0,Academic Strugglers,5.463836592758643,2.2345178077001178,0.5061136366625104,18,1.0
22,46,1,0,financial_instability,2,Health-Constrained,5.4723486753630155,2.2132941900926397,0.5700000000000001,26,1.0
23,35,4,1,,1,Stable Achievers,0.5931625120680203,1.5089297676757587,0.2858496045902048,10,
24,44,3,1,,2,Health-Constrained,6.095486708101479,2.084010480056574,0.37349582875715953,33,1.0
25,14,4,1,,1,Stable Achievers,2.0138914403802364,0.8091272467210296,0.366673548276652,7,2.0
26,30,3,1,,0,Academic Strugglers,3.2176110737948793,1.2975563807126842,0.4475328694506137,4,1.5
27,29,2,1,,2,Health-Constrained,5.301063098144272,1.9470061575949231,0.4742606916797701,22,
28,36,3,1,,0,Academic Strugglers,1.909153688033327,2.3569594758128996,0.4597789489213766,5,2.0
29,6,4,1,,1,Stable Achievers,5.0819204766914075,1.0260865041678402,0.2657994590094773,16,1.5
30,25,5,1,,1,Stable Achievers,-0.6595175605832757,0.7254897887057195,0.2672116995891337,36,2.0
31,31,2,1,,0,Academic Strugglers,1.4389634181429167,1.8189178325522406,0.44592131859881223,1,1.5
32,39,4,1,,1,Stable Achievers,1.6981208242478902,,,8,1.0
33,31,4,1,,1,Stable Achievers,1.4384751094963637,1.7629147890360555,0.3761113380198987,20,2.0
34,22,1,1,,0,Academic Strugglers,6.875063032173783,1.636359785661182,0.5371122701278706,10,0.5
35,22,3,1,,1,Stable Achievers,1.1460990926117358,1.3536361655710247,0.4314751207771552,5,2.5
36,16,2,1,,0,Academic Strugglers,5.191757116149453,2.0382201716026893,0.4688958273525307,3,1.5
37,8,1,1,,0,Academic Strugglers,2.6210632168908004,2.2128859019783644,0.5700000000000001,2,1.0
38,14,2,0,psychosocial,0,Academic Strugglers,2.280027061026026,,0.5119102245060316,7,1.0
39,7,3,1,,0,Academic Strugglers,4.844433122530854,,0.45926766469118224,5,2.0
40,11,1,1,,0,Academic Strugglers,4.41156618102765,2.1472502310932637,0.5170582209820349,5,2.0
41,41,2,1,,0,Academic Strugglers,2.620620912311584,1.886984446179005,0.5115956744104604,9,
42,25,2,1,,0,Academic Strugglers,0.3746924114657636,1.8304311699561975,0.4656733909969173,6,2.0
43,5,1,1,,0,Academic Strugglers,2.1657074091859503,1.962448141580624,,3,
44,21,3,1,,1,Stable Achievers,0.4146543771757521,1.2679925953845328,0.3440581563125157,12,0.5
45,13,1,1,,0,Academic Strugglers,3.4221265737692157,,,16,
46,32,3,1,,2,Health-Constrained,-0.7328331038466732,0.8307280174641953,0.3886517464200643,42,1.0
47,40,4,1,,1,Stable Achievers,2.88512468461955,0.8493986031706218,0.2631712376726236,2,2.0
48,1,5,1,,1,Stable Achievers,1.4611623323403145,1.1932085978006786,0.2356535457965459,3,1.5
49,22,1,1,,2,Health-Constrained,-0.5775980015172171,1.7103229023242557,0.5232523049101427,51,1.5
50,22,1,1,,0,Academic Strugglers,4.744081301150069,1.790913789462228,0.5700000000000001,20,1.5
51,47,2,1,,0,Academic Strugglers,2.613770626206925,2.274765397006101,0.42841428068216403,2,1.0
52,18,2,1,,0,Academic Strugglers,2.3552707388254883,2.0817499078695167,0.5013607620683529,4,2.0
53,8,2,0,commute_distance,0,Academic Strugglers,3.338812788290471,2.0347160567570404,0.44638721552930405,4,0.5
54,10,3,1,,2,Health-Constrained,2.512878071167677,1.3400061804925665,0.3445103914918518,26,1.5
55,23,2,1,,0,Academic Strugglers,8.164816323226237,2.088089081189332,0.4578064427423656,5,1.0
56,28,1,0,household_pressure,0,Academic Strugglers,6.017569482209105,2.0936813601360322,0.492007800603541,1,1.5
57,16,1,1,,0,Academic Strugglers,2.5224745534226343,1.6734969692057042,0.488094941027697,14,2.5
58,21,1,1,,0,Academic Strugglers,3.016192588375775,1.8169262192400861,0.49885531361669677,4,2.5
59,32,4,1,,1,Stable Achievers,-0.5350944618170786,1.2134972546037512,0.3046705119912697,14,1.5
60,15,1,0,household_pressure,0,Academic Strugglers,2.3852799038951087,1.8755327454381934,0.5595083013062856,22,2.0
61,46,1,0,commute_distance,0,Academic Strugglers,5.520608403003418,2.948103139529602,,14,1.0
62,10,3,1,,1,Stable Achievers,2.7211902273352884,,,5,2.0
63,44,1,1,,0,Academic Strugglers,4.2540892082606305,,0.47506842426824203,10,
64,42,3,1,,2,Health-Constrained,3.4850184813388543,1.777664597074541,0.4205331742438183,34,2.0
65,45,1,1,,0,Academic Strugglers,3.7278859876438952,2.274540786169531,0.5074139211074309,1,1.0
66,38,3,1,,0,Academic Strugglers,1.0867143290737138,2.136358393368047,0.4288369793829953,7,
67,25,2,1,,0,Academic Strugglers,5.087396483832528,,0.41949697650848894,3,1.0
68,29,1,1,,2,Health-Constrained,2.656869898643653,2.0322808265766845,0.5700000000000001,26,0.0
69,10,3,1,,1,Stable Achievers,2.490925742274879,1.7500883752590597,0.3896219594821253,6,2.0
70,17,1,1,,0,Academic Strugglers,2.860373933380793,2.0647497570312927,0.5700000000000001,6,2.0
71,22,4,1,,1,Stable Achievers,1.0245950736831957,0.6723295360217716,0.2963412234897168,3,2.0
72,45,5,1,,1,Stable Achievers,0.2850854369214012,,0.258358821200431,8,1.0
73,38,1,1,,0,Academic Strugglers,1.327586613718381,,,5,1.5
74,27,2,1,,0,Academic Strugglers,2.8520155105181777,2.0914246641207495,0.52,1,0.0
75,28,3,1,,2,Health-Constrained,2.2590541045273027,1.3567386736602196,0.4281389818351872,24,
76,21,2,1,,0,Academic Strugglers,3.0237298866474998,0.9238004573325301,0.52,5,2.0
77,20,3,1,,1,Stable Achievers,0.9272192467069789,1.8120433367572715,0.4043725425295701,20,2.0
78,43,1,1,,0,Academic Strugglers,3.9920907586495624,1.715808237678396,0.4773064449700316,4,1.5
79,1,2,1,,2,Health-Constrained,-0.0708016990009897,0.9471061435299684,0.52,26,2.0
80,16,2,1,,0,Academic Strugglers,2.255434788880425,,0.4469867251461696,3,
81,20,3,1,,1,Stable Achievers,1.4919240224126167,1.3384742217906451,0.4345097094017986,6,2.0
82,33,3,0,other,1,Stable Achievers,3.8206101583477925,0.7752209668066958,0.38146240054316594,2,2.0
83,20,3,0,health_related,2,Health-Constrained,2.206362871526638,1.977841395341608,0.43048486217889803,51,0.0
84,15,4,1,,1,Stable Achievers,-1.0206241351666,0.7558682889005595,0.28362906687221734,4,3.0
85,4,5,1,,1,Stable Achievers,0.919853013332674,1.3171145360410224,0.21898842389704398,11,1.0
86,13,1,1,,0,Academic Strugglers,1.8556705301600962,2.897089382132563,0.5421120777742234,5,1.0
87,5,3,1,,0,Academic Strugglers,3.7215934812327713,,0.37218660542217563,3,
88,33,2,0,commute_distance,0,Academic Strugglers,2.7981123707607116,1.9639092299869045,0.4866426667885184,4,2.5
89,21,2,1,,0,Academic Strugglers,0.924204087681002,2.077816028620321,0.44115392776081863,2,
90,11,4,1,,1,Stable Achievers,1.6928002374771758,,0.3473716188147188,3,1.5
91,26,3,1,,1,Stable Achievers,0.971682626647638,1.9651407929714684,0.3720707236414412,16,1.0
92,24,2,1,,1,Stable Achievers,-0.918332210496108,,0.5046196841935331,2,1.5
93,23,1,0,psychosocial,0,Academic Strugglers,4.116163692262408,,0.5143838724694769,6,1.0
94,28,4,1,,1,Stable Achievers,1.1579828438898572,1.7286830612434878,0.347812663311235,5,0.5
95,30,4,1,,2,Health-Constrained,4.433847718758897,1.2908847527366212,0.3607863788208989,48,2.5
96,9,3,1,,0,Academic Strugglers,1.8229847765295135,2.048910998585488,0.4258464604927576,4,0.0
97,8,4,1,,1,Stable Achievers,2.2111520509734346,1.1778101304663529,0.3515008823988758,6,0.5
98,35,1,1,,0,Academic Strugglers,0.3540036153077204,1.6343304685799829,0.5498138611227403,13,1.5
99,46,2,1,,2,Health-Constrained,-1.177197406164915,1.4688160125146146,0.5065009434614137,30,1.5
100,26,2,1,,0,Academic Strugglers,5.438390590904744,,0.5181873480302805,8,
101,22,4,1,,1,Stable Achievers,3.2153514861966235,0.7568270173966204,0.2876695309498065,4,2.0
102,30,1,0,psychosocial,0,Academic Strugglers,4.139030773363665,2.325269241171947,0.5094492272129236,4,1.0
103,2,1,1,,0,Academic Strugglers,5.48958740571502,1.9658201072064616,0.5329815317374649,18,2.5
104,18,5,1,,1,Stable Achievers,1.7178898949751051,,0.2575868240807028,2,
105,17,1,1,,0,Academic Strugglers,3.396630795874409,,0.5700000000000001,2,
106,20,4,1,,1,Stable Achievers,1.3921781869854661,1.514710609631563,0.36967689561286243,1,2.0
107,35,2,0,health_related,2,Health-Constrained,3.085180025888312,2.8,0.4978070061343227,51,1.0
108,24,4,1,,1,Stable Achievers,2.723920414068115,1.816912506662601,0.36486223359949843,12,
109,41,1,0,household_pressure,0,Academic Strugglers,2.8978320399786304,2.8790473643363974,0.5576805369392227,7,0.0
110,23,4,0,household_pressure,1,Stable Achievers,-0.1693447525179541,1.5721965218602447,0.3350380690945966,5,2.0
111,2,5,1,,1,Stable Achievers,1.803312011141643,,0.2779478648431804,6,
112,32,3,1,,1,Stable Achievers,0.7119284504516147,1.232888268595643,0.40221576091621764,5,1.5
113,38,2,1,,0,Academic Strugglers,0.7641511472752188,2.268409021011807,0.464988820901211,3,
114,28,5,1,,1,Stable Achievers,-0.1159565404627592,0.6245747776535577,0.2691419262869825,7,2.0
115,45,4,1,,1,Stable Achievers,-0.2050097226151754,0.4616559478980557,0.31441508836694243,14,3.0
116,20,3,1,,0,Academic Strugglers,4.875015337468919,1.2579336978170672,0.4479113994600683,2,1.5
117,38,2,1,,0,Academic Strugglers,3.581998210201842,1.7938578091529274,0.4395777141176982,7,1.5
118,1,4,1,,1,Stable Achievers,2.718790332144941,0.4416687552299593,0.3462948472306781,4,2.0
119,2,5,1,,1,Stable Achievers,0.9107748330185717,0.9049947930613544,0.2968625361586623,5,3.0
120,38,3,1,,0,Academic Strugglers,5.962478035161706,1.9118331588653223,0.4277845815778014,12,0.0
121,42,2,1,,0,Academic Strugglers,0.6466797167871678,,0.5096837323475908,3,
122,25,5,1,,1,Stable Achievers,3.8992933231793963,0.38969217106781473,0.2290552425670485,6,
123,36,1,1,,0,Academic Strugglers,6.2702208139806705,2.3172116252428676,,6,1.0
124,16,2,1,,0,Academic Strugglers,3.4219067028742125,,0.4961349233428386,4,
125,35,5,1,,1,Stable Achievers,1.7329168493848384,,0.277673007398683,7,1.0
126,24,3,1,,1,Stable Achievers,1.6209716881952736,1.9364795659037033,0.3706292644896033,18,2.0
127,15,1,1,,0,Academic Strugglers,2.896544767394454,2.7851564448181536,0.5172759840737946,4,0.0
128,5,3,1,,0,Academic Strugglers,1.534497612053585,1.9793456564028653,0.44798860296270543,4,2.0
129,9,5,1,,1,Stable Achievers,1.862946900974103,1.3020985283535236,0.2492855273381115,5,2.0
130,43,5,1,,1,Stable Achievers,1.4316747928322453,1.6270117633342633,0.2374629573935677,3,1.0
131,21,2,1,,0,Academic Strugglers,3.688306115694682,1.6263281128232974,,4,1.5
132,47,1,1,,0,Academic Strugglers,0.6476547607639263,,0.5693073508115051,3,
133,17,2,1,,0,Academic Strugglers,3.082549324651126,2.358065292956285,0.491443963309884,14,1.0
134,3,1,1,,0,Academic Strugglers,4.975098555403774,,0.5700000000000001,6,0.5
135,13,1,1,,0,Academic Strugglers,5.976873104437307,1.115929366896121,0.4836988776487797,3,2.0
136,17,2,1,,2,Health-Constrained,6.543033481420241,,0.44023430959248677,22,2.0
137,33,4,1,,1,Stable Achievers,2.9902404708407397,1.031852647798845,0.3216343391684179,5,1.5
138,35,3,1,,0,Academic Strugglers,1.6826044227590264,1.900825847541662,,8,1.0
139,35,1,1,,0,Academic Strugglers,0.8396993876896526,2.7766410509679513,0.5700000000000001,3,1.0
140,15,4,1,,1,Stable Achievers,1.820108739910594,1.4953400204331442,0.3684596199629737,5,1.5
141,18,2,1,,0,Academic Strugglers,3.1424396066342273,2.319451756761609,0.4713339547000676,8,2.0
142,27,1,1,,0,Academic Strugglers,6.721261214934781,1.823312534504515,0.5700000000000001,8,1.5
143,29,3,0,household_pressure,1,Stable Achievers,0.8441878677866678,1.2962224100454809,0.4250089567396773,6,2.5
144,20,1,1,,0,Academic Strugglers,1.1465515246768887,2.5263216034253078,0.5700000000000001,5,1.0
145,9,1,1,,0,Academic Strugglers,4.680235514848711,2.1871969977995973,0.5196041572805237,5,1.0
146,37,4,1,,1,Stable Achievers,0.2580051546647294,0.9160023475901771,0.3145432861493549,7,
147,25,2,1,,0,Academic Strugglers,4.713181756529422,2.1174814262917305,0.4734365512859625,5,2.0
148,46,3,1,,0,Academic Strugglers,3.024929650871804,1.9472120857168362,0.388991639627879,6,0.0
149,45,2,0,financial_instability,0,Academic Strugglers,3.0133277150670446,,0.5191571096015616,6,1.0
150,42,5,1,,1,Stable Achievers,1.8744680518106347,0.2684162882236141,0.21628784658257122,22,1.0
151,46,1,0,academic_performance,0,Academic Strugglers,11.0,1.145097124794336,0.5085016069969182,3,2.0
152,30,5,0,psychosocial,1,Stable Achievers,-1.054176267224661,0.8086074439233362,0.2332599204564797,9,2.0
153,15,3,1,,0,Academic Strugglers,2.6561598811192466,,0.4547422026678915,6,2.0
154,8,5,1,,1,Stable Achievers,1.0827291160384003,1.2766405409131754,0.2861035222578485,28,1.0
155,5,1,1,,2,Health-Constrained,6.966389023545341,2.805263334545828,0.5700000000000001,45,2.0
156,45,2,1,,0,Academic Strugglers,6.885778240344793,2.268354811802656,0.5141329880483606,1,1.0
157,13,1,1,,2,Health-Constrained,6.557008743884801,1.117529972258563,0.5394068221645292,84,2.0
158,2,5,1,,1,Stable Achievers,-0.0396913990088052,1.2,0.2782522936732174,18,2.0
159,2,2,1,,0,Academic Strugglers,5.245410360053499,1.4526642501398679,0.4940991363780804,4,1.5
160,14,1,1,,0,Academic Strugglers,3.839592076004556,1.8002015764701953,0.514635791548602,3,1.5
161,47,3,1,,1,Stable Achievers,2.0523434350218883,0.932427984107822,0.39422302984766133,6,2.0
162,14,4,1,,1,Stable Achievers,2.770959959284942,0.625176994902428,0.36081656332802237,4,1.0
163,5,3,1,,0,Academic Strugglers,4.640441649054015,2.038382499482914,,0,1.5
164,32,1,0,health_related,2,Health-Constrained,3.148405630490456,1.6413930134120855,0.5557178122972142,36,1.5
165,3,2,1,,2,Health-Constrained,3.6201313294896886,2.0044686460701464,0.52,22,
166,23,3,1,,0,Academic Strugglers,7.020228756917458,2.001915100017824,0.4038364568757246,6,2.0
167,5,2,1,,0,Academic Strugglers,6.371529156788024,2.262010918082619,0.4058502691577228,2,
168,5,1,1,,2,Health-Constrained,3.338378919367864,1.7274259923425652,0.4864117486078574,22,
169,17,2,1,,0,Academic Strugglers,5.722267664777293,1.933625598994146,0.4885832196276436,4,1.0
170,1,2,1,,0,Academic Strugglers,4.635655442836604,1.7014008617487275,0.52,6,2.5
171,40,1,1,,0,Academic Strugglers,-0.3036862211809104,1.8471664620733474,0.5700000000000001,6,0.5
172,29,3,0,health_related,2,Health-Constrained,4.840346842807896,1.9946678901750867,0.42811424320683844,26,2.0
173,44,4,1,,1,Stable Achievers,2.111730462874937,1.8493164411964522,,5,2.0
174,24,1,1,,2,Health-Constrained,3.174373801984406,,0.4743437955784152,42,
175,27,4,1,,1,Stable Achievers,2.4225722000380694,1.3278888496712629,0.34896907823202994,2,0.5
176,29,2,1,,0,Academic Strugglers,6.506031968698487,1.940896512787837,0.52,5,0.0
177,22,2,1,,0,Academic Strugglers,2.151330823953436,1.9965345473314755,0.5167512030597277,6,1.0
178,27,3,0,commute_distance,1,Stable Achievers,2.1605234125085206,,0.37152343628194523,5,
179,27,1,1,,0,Academic Strugglers,3.49682237527533,1.3818998529119715,0.5369209684755418,3,2.0
180,42,2,1,,0,Academic Strugglers,6.948458879682184,2.014529785859681,0.5017347890229122,9,2.0
181,15,4,1,,1,Stable Achievers,2.02314006986078,1.3441871648878119,0.3394409802359351,5,1.5
182,44,2,1,,0,Academic Strugglers,4.88245237967622,2.2400176788552324,0.4813723705418124,10,2.0
183,9,5,1,,1,Stable Achievers,1.5370431017618416,1.6957601662024606,0.2298959538123878,3,2.0
184,9,2,1,,0,Academic Strugglers,0.806016025206017,2.21255353419639,0.4091275575946006,2,1.0
185,12,1,1,,0,Academic Strugglers,3.9917618256974787,2.779914220622814,0.503350324936404,9,0.0
186,45,3,1,,1,Stable Achievers,-0.1590567418109258,0.9197825629729428,0.4218033017257295,9,2.0
187,12,4,1,,1,Stable Achievers,0.9209506181807,1.7029504043522738,,6,1.0
188,38,4,1,,0,Academic Strugglers,2.9170268543015307,1.5367335077231576,0.37066195112427924,5,0.5
189,28,1,1,,0,Academic Strugglers,1.0900866257619963,,0.5131935875373673,5,1.0
190,31,1,0,academic_performance,0,Academic Strugglers,8.035286023215678,,0.5061381049705644,3,1.0
191,4,2,1,,2,Health-Constrained,0.9502976503379144,1.5208454573544854,,60,1.5
192,32,2,1,,0,Academic Strugglers,2.88071777006308,1.8301904975684964,0.408581812166276,5,1.0
193,4,1,0,academic_performance,0,Academic Strugglers,7.220562005623091,2.591882718445273,0.5335752330593255,7,1.0
194,26,1,1,,0,Academic Strugglers,1.165043773112135,2.0940839705288496,0.519652899811019,3,1.0
195,37,4,1,,1,Stable Achievers,4.3710760081604025,,0.29336446542446837,6,
196,44,2,1,,0,Academic Strugglers,3.945479731104802,,0.52,6,1.5
197,47,5,1,,1,Stable Achievers,2.747590532445707,,0.20642506776867098,18,1.5
198,11,3,1,,0,Academic Strugglers,4.127117325130115,1.4776333649155533,0.4348924782158544,6,0.5
199,37,1,1,,0,Academic Strugglers,0.9360945558031811,1.6368417856304163,0.4726528172093418,6,2.0
200,29,3,1,,0,Academic Strugglers,4.451150645582901,1.5345022427605177,0.35431971132489215,4,0.5
201,35,1,1,,0,Academic Strugglers,5.1276343975322884,1.8231525183178368,,8,1.5
202,39,2,1,,1,Stable Achievers,1.461369851677387,1.9517865025636782,0.40503408864628043,3,1.0
203,23,2,1,,0,Academic Strugglers,-0.6878343327521217,2.443805575935313,0.4318205178763982,3,2.0
204,7,1,1,,0,Academic Strugglers,2.5457282957065255,2.1612709681738007,0.485020569927539,4,1.0
205,38,5,1,,1,Stable Achievers,0.8444883879510698,0.2959164953301105,0.23381816393237148,24,2.0
206,29,2,1,,0,Academic Strugglers,2.3062292261250477,1.6355292686079936,0.5032083624679842,1,2.0
207,7,3,0,psychosocial,0,Academic Strugglers,3.271697542979189,1.8645141779235095,0.3704377417737974,3,1.0
208,19,2,1,,0,Academic Strugglers,1.3781816179897888,1.7470949133107645,0.4893262882276798,5,1.5
209,7,3,1,,0,Academic Strugglers,6.327852667742251,1.2972148314218517,0.35136235868434723,3,1.5
210,37,4,1,,1,Stable Achievers,3.007107811699596,,0.281153270909252,3,
211,16,1,0,household_pressure,0,Academic Strugglers,4.539148546167515,1.3662344487436717,,4,1.0
212,4,2,1,,2,Health-Constrained,4.573152803322332,1.1467963213368324,0.4899084508625906,42,3.0
213,14,3,1,,1,Stable Achievers,-0.2716169435016497,2.0218872341645,0.3579751685321229,6,1.0
214,29,1,1,,0,Academic Strugglers,1.2667670016435209,2.3976463694733665,0.5055654055262092,4,1.0
215,28,3,0,health_related,2,Health-Constrained,4.239650084248726,1.254913022751576,0.4322331556400118,24,1.5
216,41,5,1,,1,Stable Achievers,-0.2833109636033925,0.38853098400884073,,2,
217,17,4,1,,2,Health-Constrained,4.770969957839354,1.076016568820886,0.35748735351555005,63,1.5
218,30,3,0,academic_performance,0,Academic Strugglers,4.487506676928063,1.7288927511570846,0.4504547528324248,5,2.0
219,45,1,0,commute_distance,0,Academic Strugglers,2.942670836471248,3.0,0.5700000000000001,7,1.0
220,16,1,1,,0,Academic Strugglers,4.603762672690518,1.5643572084815793,0.5700000000000001,4,2.0
221,2,4,1,,1,Stable Achievers,0.8053546547386864,0.48630526029281457,0.2698755957218786,3,3.0
222,31,4,1,,1,Stable Achievers,0.1695925506701994,,0.3019379955048198,6,3.0
223,29,4,1,,1,Stable Achievers,8.264427819476085,0.9295877950669253,0.34131849523752,7,
224,16,2,1,,2,Health-Constrained,-0.0198604841005936,2.1077523237327993,0.4216322543365269,30,1.0
225,27,1,1,,0,Academic Strugglers,7.364920083982444,2.413052873862644,0.5345780036650357,18,1.0
226,32,3,1,,0,Academic Strugglers,3.021389230757701,1.7167042301627213,,3,2.0
227,39,3,1,,2,Health-Constrained,2.0615510833064716,1.4681301334704422,0.3908951491066777,26,2.5
228,7,1,1,,0,Academic Strugglers,7.191717664108494,2.1561425956171023,0.5394244504761527,6,1.0
229,23,2,0,academic_performance,0,Academic Strugglers,5.239182689886177,2.5844446941912924,0.4125308486536006,2,1.0
230,14,3,1,,0,Academic Strugglers,2.1778236035303844,1.8304963460757526,0.4061067001065464,6,1.0
231,16,1,0,academic_performance,0,Academic Strugglers,10.0,,0.5700000000000001,18,
232,2,2,0,commute_distance,0,Academic Strugglers,1.5510792678346281,2.4681287862405608,0.4321830475353842,6,1.0
233,20,1,1,,0,Academic Strugglers,4.388966273096104,2.3245657909211523,0.4756669384038271,5,
234,4,4,1,,1,Stable Achievers,1.657332558730662,1.151865838409139,0.2745681921683515,3,1.5
235,44,2,1,,0,Academic Strugglers,2.045190582837551,2.0857890886012136,0.4573895325135993,1,1.0
236,27,3,1,,1,Stable Achievers,1.7872043212101403,0.8980393080330504,,8,1.0
237,20,2,1,,0,Academic Strugglers,5.810217880115135,1.625147273438055,0.4724168402802099,7,2.5
238,11,2,1,,2,Health-Constrained,3.881551805227269,2.522740122208197,0.42733599135384703,24,1.0
239,45,1,1,,0,Academic Strugglers,2.433754712679944,2.0546843835939548,0.5683632538135591,4,1.0
240,25,2,1,,0,Academic Strugglers,2.952726493720868,1.6617186512662343,0.4858637860444268,6,
241,47,5,1,,1,Stable Achievers,0.1361155934159805,1.2833291034612646,0.2490096443920804,10,1.0
242,31,4,1,,1,Stable Achievers,2.8702620266310532,1.9459604606571692,0.31812861776861223,4,2.0
243,47,3,0,health_related,2,Health-Constrained,6.95837159741043,,0.44008154241994973,42,1.0
244,42,4,1,,1,Stable Achievers,0.7500986779186556,1.5945776926722504,0.3260504608437734,6,2.0
245,35,1,0,financial_instability,0,Academic Strugglers,4.366683786649961,2.7950171019480745,0.5315331082230327,7,0.0
246,17,4,1,,1,Stable Achievers,-0.007412667286341046,1.4940503812299935,0.3084559132941409,8,
247,37,4,1,,1,Stable Achievers,-0.3085603142178452,1.1141363245635314,0.3349341385537054,12,2.5
248,15,3,1,,1,Stable Achievers,3.3248655751562355,1.2013461285740514,0.3974217064723347,7,
249,41,5,1,,2,Health-Constrained,0.7084484299527338,0.768616996202226,0.2885877436231708,48,0.5
250,15,1,1,,2,Health-Constrained,2.218479582830597,,,54,2.0
251,4,1,1,,0,Academic Strugglers,3.467341448989115,1.429461300924136,0.5444407871746368,4,
252,6,5,1,,1,Stable Achievers,-0.0841230195703378,0.7605072841217724,0.2683445115994258,4,1.5
253,22,2,1,,0,Academic Strugglers,2.830920558191073,2.54198315982845,,4,1.0
254,32,5,1,,1,Stable Achievers,-0.7645506838622285,1.3272694864501429,0.2820519551341629,4,
255,14,2,1,,0,Academic Strugglers,1.4358052276678233,1.874532154743533,0.52,4,2.5
256,39,2,1,,2,Health-Constrained,3.728371660331221,0.9675276728521548,0.52,39,3.0
257,13,4,1,,2,Health-Constrained,4.589257074201916,0.964758173810643,0.33146047894677744,57,1.5
258,23,2,1,,0,Academic Strugglers,3.2326711897450915,,0.4160707866153816,5,
259,16,1,1,,0,Academic Strugglers,4.986700641197165,2.156502830121007,0.5151144279191409,5,1.0
260,27,2,1,,0,Academic Strugglers,2.2635771905062647,2.2475815483355355,0.434631496035903,18,1.0
261,9,1,1,,0,Academic Strugglers,0.0046818801946365,2.6371826244599346,0.5179092899307093,5,1.0
262,46,5,0,psychosocial,1,Stable Achievers,0.9537406049263696,1.3597394032829917,0.262175957709205,4,0.0
263,44,4,1,,1,Stable Achievers,4.78639062220531,1.464582765996818,0.30839596063759867,20,0.0
264,33,1,0,financial_instability,0,Academic Strugglers,5.076790426441042,1.7083532938551558,0.5700000000000001,7,0.5
265,25,2,1,,1,Stable Achievers,1.0917397691721653,1.515924476392558,0.4180740584979316,4,1.5
266,36,4,1,,1,Stable Achievers,3.3798644309479418,0.6531612158669732,0.34620682222037225,4,2.0
267,23,1,1,,0,Academic Strugglers,7.089079685157004,2.205535924343895,0.47801642734939276,2,0.0
268,42,1,1,,0,Academic Strugglers,3.117962302643763,,0.4822243048912897,4,
269,4,1,1,,0,Academic Strugglers,6.702366210017469,2.182106103401039,0.49490802436497283,2,1.0
270,11,5,1,,1,Stable Achievers,-0.3301415389822553,0.9212753312363069,0.2051045411396934,4,1.5
271,22,2,1,,2,Health-Constrained,7.809635493806322,2.363730167463541,0.52,33,
272,31,1,1,,0,Academic Strugglers,5.520001528150594,2.091040888964832,0.5564826602028211,2,1.0
273,34,1,0,health_related,2,Health-Constrained,2.807137296746439,2.7496087893287946,0.5700000000000001,45,1.0
274,34,1,1,,0,Academic Strugglers,6.927135319713077,,0.5700000000000001,5,1.0
275,45,3,1,,2,Health-Constrained,3.0216045200276067,0.9755718983071127,,22,1.0
276,40,1,1,,0,Academic Strugglers,2.9559154849236737,,0.5700000000000001,5,0.5
277,44,3,1,,1,Stable Achievers,0.3426035180483858,1.7154101433260855,0.3725219738609573,5,1.0
278,17,5,1,,1,Stable Achievers,3.479047424956474,1.0942104347312986,0.21782005484535588,8,1.5
279,33,3,1,,0,Academic Strugglers,4.60277551966166,1.4615649297941582,0.4079128011164867,3,0.5
