Student ID,School ID,School Name,Age at Enrollment,Gender,SES Quintile,SES Label,Household Size Index,Commute Distance (km),Digital Access,Digital Access Score,School Feeding,GPA Trend,Failed Subjects,Science Strength,Chronic Health Risk,Health Absences (days),Social Integration Score,Cash Flow Volatility,Academic Catch-up Flag,Counseling Access,Retained,Retained Flag,Dropout Reason,Risk Persona,Academic Risk Index,Barrier Burden Index,Economic Instability Index,Health Burden Index,Support Coverage Score,Long Commute Flag,High Academic Risk Flag,No Digital Access Flag,Recommended Intervention,Recommended Cost (KES),Sponsor Priority Score,Model Risk Score (oracle)
15,15,Embu Sunrise Secondary,13,Girl,1,Q1 — Lowest,4,,No access,0.0,No,-2.06,3,No,Low,1,1,0.32,No,No,No,0,Financial Instability,Academic Strugglers,5.06,,0.57,1,0.0,No,Yes,Yes,School Fee Support,15000.0,3.594,0.8043
16,4,Machakos Hilltop Secondary,13,Boy,1,Q1 — Lowest,5,7.02,Personal device,2.0,Yes,-2.055,3,No,Low,3,2,0.262,No,No,Yes,1,Still enrolled,Academic Strugglers,5.055,1.351,0.512,3,2.0,No,Yes,No,School Fee Support,15000.0,3.43,0.8888
17,18,Narok Savannah Secondary,15,Boy,2,Q2 — Low,4,5.89,No access,0.0,Yes,-1.693,3,No,Low,4,1,0.205,No,No,Yes,1,Still enrolled,Academic Strugglers,4.693,2.094,0.405,4,1.0,No,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.304,0.7804
18,14,Bungoma West Secondary,15,Girl,2,Q2 — Low,3,20.0,Shared device,1.0,Yes,-0.253,0,No,Moderate,6,0,0.276,No,No,Yes,1,Still enrolled,Academic Strugglers,0.253,2.3,0.476,12,1.5,Yes,No,No,School Fee Support,15000.0,2.986,0.8732
19,2,Nyandarua Mixed Secondary,14,Boy,1,Q1 — Lowest,5,3.52,No access,0.0,Yes,-1.803,2,No,Moderate,9,0,0.264,No,No,Yes,1,Still enrolled,Academic Strugglers,3.803,2.176,0.514,18,1.0,No,No,Yes,School Fee Support,15000.0,3.203,0.811
20,6,Mombasa Coast Secondary,16,Boy,2,Q2 — Low,8,6.08,No access,0.0,Yes,0.572,0,No,Low,9,0,0.237,No,Yes,No,0,Household Pressure,Academic Strugglers,-0.572,2.104,0.437,9,2.0,No,No,Yes,School Fee Support,15000.0,1.462,0.9649
21,4,Machakos Hilltop Secondary,14,Girl,1,Q1 — Lowest,4,4.69,No access,0.0,Yes,-2.464,3,Yes,Moderate,9,0,0.256,No,No,Yes,1,Still enrolled,Academic Strugglers,5.464,2.235,0.506,18,1.0,No,Yes,Yes,School Fee Support,15000.0,2.934,0.8105
22,20,Busia Border Secondary,15,Girl,1,Q1 — Lowest,2,4.27,No access,0.0,Yes,-2.472,3,No,Moderate,13,0,0.32,No,No,Yes,1,Still enrolled,Health-Constrained,5.472,2.213,0.57,26,1.0,No,Yes,Yes,School Fee Support,15000.0,3.877,0.812
23,15,Embu Sunrise Secondary,14,Boy,4,Q4 — High,4,12.18,Shared device,1.0,Yes,-0.593,0,No,Low,10,2,0.186,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.593,1.509,0.286,10,2.5,Yes,No,No,,,,0.9659
24,19,Isiolo North Secondary,15,Boy,3,Q3 — Middle,5,9.68,No access,0.0,Yes,-2.095,4,No,High,11,0,,Yes,No,Yes,1,Still enrolled,Health-Constrained,6.095,2.084,,33,1.0,Yes,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.161,0.7827
25,6,Mombasa Coast Secondary,13,Boy,4,Q4 — High,5,8.18,Personal device,2.0,Yes,-1.014,1,No,Low,7,0,,No,No,Yes,1,Still enrolled,Stable Achievers,2.014,0.809,,7,2.0,Yes,No,No,,,,0.9444
26,13,Meru Mountain Secondary,17,Boy,3,Q3 — Middle,4,3.95,Shared device,1.0,Yes,-1.218,2,No,Low,4,1,,No,,Yes,1,Still enrolled,Academic Strugglers,3.218,1.298,,4,,No,No,No,,,,0.9236
27,13,Meru Mountain Secondary,14,Girl,2,Q2 — Low,4,2.94,No access,0.0,Yes,-2.301,3,No,Moderate,11,0,0.274,No,,Yes,1,Still enrolled,Health-Constrained,5.301,1.947,0.474,22,,No,Yes,Yes,School Fee Support,15000.0,3.23,0.8366
28,16,Kericho Highlands Secondary,14,Girl,3,Q3 — Middle,4,15.14,No access,0.0,Yes,-0.909,1,No,Low,5,0,0.31,No,Yes,Yes,1,Still enrolled,Academic Strugglers,1.909,2.357,0.46,5,2.0,Yes,No,Yes,School Fee Support,15000.0,2.414,0.8179
29,3,Kisumu Lakeside Secondary,16,Boy,4,Q4 — High,5,2.52,Shared device,1.0,Yes,-1.082,4,No,Moderate,8,1,0.166,Yes,No,Yes,1,Still enrolled,Stable Achievers,5.082,1.026,0.266,16,1.5,No,Yes,No,,,,0.937
30,11,Kitale Plains Secondary,15,Boy,5,Q5 — Highest,6,10.51,Personal device,2.0,Yes,0.66,0,No,High,12,1,0.217,No,No,Yes,1,Still enrolled,Stable Achievers,-0.66,0.725,0.267,36,2.0,Yes,No,No,,,,0.9844
31,13,Meru Mountain Secondary,16,Boy,2,Q2 — Low,3,10.38,Shared device,1.0,Yes,-0.439,1,No,Low,1,1,0.246,No,No,Yes,1,Still enrolled,Academic Strugglers,1.439,1.819,0.446,1,1.5,Yes,No,No,,,,0.9381
32,17,Malindi Shore Secondary,17,Girl,4,Q4 — High,4,2.09,,,No,-0.698,1,Yes,Low,8,2,0.185,No,No,Yes,1,Still enrolled,Stable Achievers,1.698,,0.285,8,,No,No,No,,,,0.972
33,14,Bungoma West Secondary,16,Boy,4,Q4 — High,6,7.26,No access,0.0,Yes,-0.438,1,No,Moderate,10,2,,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.438,1.763,,20,2.0,No,No,Yes,,,,0.9688
34,9,Kakamega Forest Secondary,15,Girl,1,Q1 — Lowest,4,2.73,Shared device,1.0,No,-2.875,4,No,Low,10,0,0.287,Yes,No,Yes,1,Still enrolled,Academic Strugglers,6.875,1.636,0.537,10,0.5,No,Yes,No,School Fee Support,15000.0,3.836,0.8234
35,10,Nyeri Ridge Secondary,14,Girl,3,Q3 — Middle,7,5.07,,,Yes,-1.146,0,Yes,Low,5,2,0.281,No,Yes,Yes,1,Still enrolled,Academic Strugglers,1.146,,0.431,5,,No,No,No,,,,0.9761
36,7,Eldoret Highlands Secondary,15,Boy,2,Q2 — Low,3,14.76,Shared device,1.0,Yes,-2.192,3,No,Low,3,0,0.269,No,No,Yes,1,Still enrolled,Academic Strugglers,5.192,2.038,0.469,3,1.5,Yes,Yes,No,School Fee Support,15000.0,3.542,0.7673
37,4,Machakos Hilltop Secondary,17,Boy,1,Q1 — Lowest,6,4.26,No access,0.0,Yes,-1.621,1,Yes,Low,2,2,,No,No,Yes,1,Still enrolled,Academic Strugglers,2.621,2.213,,2,1.0,No,No,Yes,School Fee Support,15000.0,1.424,0.945
38,6,Mombasa Coast Secondary,15,Girl,2,Q2 — Low,2,3.42,No access,0.0,Yes,-0.28,2,No,Low,7,0,,No,No,Yes,1,Still enrolled,Academic Strugglers,2.28,1.971,,7,1.0,No,No,Yes,,,,0.8886
39,3,Kisumu Lakeside Secondary,15,Girl,3,Q3 — Middle,5,3.79,Personal device,2.0,Yes,-1.844,3,No,Low,5,1,0.309,No,No,Yes,1,Still enrolled,Academic Strugglers,4.844,0.789,0.459,5,2.0,No,Yes,No,School Fee Support,15000.0,2.412,0.8975
40,5,Nakuru Valley Secondary,13,Girl,1,Q1 — Lowest,6,2.95,No access,0.0,Yes,-1.412,3,No,Low,5,0,0.267,No,Yes,Yes,1,Still enrolled,Academic Strugglers,4.412,2.147,0.517,5,2.0,No,Yes,Yes,School Fee Support,15000.0,3.169,0.9315
41,18,Narok Savannah Secondary,15,Girl,2,Q2 — Low,0,,No access,0.0,No,-0.621,2,Yes,Low,9,1,0.312,No,No,Yes,1,Still enrolled,Academic Strugglers,2.621,,0.512,9,0.0,No,No,Yes,School Fee Support,15000.0,2.954,0.8807
42,11,Kitale Plains Secondary,16,Boy,2,Q2 — Low,4,0.61,No access,0.0,Yes,-0.375,0,No,Low,6,2,0.266,No,Yes,Yes,1,Still enrolled,Academic Strugglers,0.375,1.83,0.466,6,2.0,No,No,Yes,,,,0.9898
43,2,Nyandarua Mixed Secondary,17,Boy,1,Q1 — Lowest,6,9.25,Shared device,1.0,Yes,-1.166,1,No,Low,3,2,0.293,No,No,Yes,1,Still enrolled,Academic Strugglers,2.166,1.962,0.543,3,1.5,Yes,No,No,School Fee Support,15000.0,3.17,0.9146
44,9,Kakamega Forest Secondary,17,Girl,3,Q3 — Middle,2,3.36,Shared device,1.0,No,-0.415,0,No,Moderate,6,0,0.194,No,,Yes,1,Still enrolled,Stable Achievers,0.415,1.268,0.344,12,,No,No,No,,,,0.9615
45,6,Mombasa Coast Secondary,16,Boy,1,Q1 — Lowest,3,6.34,Shared device,1.0,Yes,-1.422,2,No,Moderate,8,1,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,3.422,1.817,0.57,16,1.5,No,No,No,School Fee Support,15000.0,3.477,0.9067
46,14,Bungoma West Secondary,17,Boy,3,Q3 — Middle,6,4.61,Personal device,2.0,No,0.733,0,No,High,14,1,0.239,No,No,Yes,1,Still enrolled,Health-Constrained,-0.733,0.831,0.389,42,1.0,No,No,No,,,,0.9768
47,17,Malindi Shore Secondary,13,Boy,4,Q4 — High,4,8.99,Personal device,2.0,Yes,-0.885,2,No,Low,2,1,0.163,No,No,Yes,1,Still enrolled,Stable Achievers,2.885,0.849,0.263,2,2.0,Yes,No,No,,,,0.9561
48,1,Kilimani Day Secondary,15,Girl,5,Q5 — Highest,4,9.86,Shared device,1.0,No,-0.461,1,Yes,Low,3,2,0.186,No,,Yes,1,Still enrolled,Stable Achievers,1.461,1.193,0.236,3,,Yes,No,No,,,,0.9726
49,10,Nyeri Ridge Secondary,14,Girl,1,Q1 — Lowest,3,4.21,Shared device,1.0,Yes,0.578,0,Yes,High,17,0,0.273,No,No,No,0,Health Related,Health-Constrained,-0.578,1.71,0.523,51,1.5,No,No,No,School Fee Support,15000.0,2.743,0.8956
50,9,Kakamega Forest Secondary,14,Boy,1,Q1 — Lowest,4,5.82,Shared device,1.0,Yes,-2.744,2,No,Moderate,10,0,0.32,No,No,Yes,1,Still enrolled,Health-Constrained,4.744,1.791,0.57,20,1.5,No,No,No,School Fee Support,15000.0,3.794,0.6302
51,20,Busia Border Secondary,17,Boy,2,Q2 — Low,3,9.5,No access,0.0,Yes,-0.614,2,No,Low,2,0,0.228,No,No,Yes,1,Still enrolled,Academic Strugglers,2.614,2.275,0.428,2,1.0,Yes,No,Yes,,,,0.8923
52,8,Thika Green Secondary,16,Boy,2,Q2 — Low,5,5.63,No access,0.0,Yes,-0.355,2,No,Low,4,2,0.301,No,Yes,Yes,1,Still enrolled,Academic Strugglers,2.355,2.082,0.501,4,2.0,No,No,Yes,School Fee Support,15000.0,2.735,0.9599
53,4,Machakos Hilltop Secondary,15,Boy,2,Q2 — Low,5,,Shared device,1.0,No,-1.339,2,Yes,Low,4,0,,No,No,Yes,1,Still enrolled,Academic Strugglers,3.339,,,4,0.5,No,No,No,Academic Tutoring / Catch-up,8000.0,1.509,0.8327
54,4,Machakos Hilltop Secondary,17,Girl,3,Q3 — Middle,8,4.8,Shared device,1.0,Yes,-1.513,1,Yes,Moderate,13,2,0.195,No,No,Yes,1,Still enrolled,Health-Constrained,2.513,1.34,0.345,26,1.5,No,No,No,,,,0.9394
55,10,Nyeri Ridge Secondary,14,Boy,2,Q2 — Low,5,5.76,No access,0.0,Yes,-3.165,5,Yes,Low,5,1,0.258,Yes,No,No,0,Academic Performance,Academic Strugglers,8.165,2.088,0.458,5,1.0,No,Yes,Yes,School Fee Support,15000.0,3.041,0.6632
56,12,Garissa Horizon Secondary,17,Boy,1,Q1 — Lowest,8,11.87,Shared device,1.0,Yes,-2.018,4,No,Low,1,0,0.242,Yes,No,Yes,1,Still enrolled,Academic Strugglers,6.018,2.094,0.492,1,1.5,Yes,Yes,No,School Fee Support,15000.0,3.049,0.611
57,7,Eldoret Highlands Secondary,14,Girl,1,Q1 — Lowest,2,3.47,Shared device,1.0,Yes,-0.522,2,No,Moderate,7,0,0.238,No,Yes,Yes,1,Still enrolled,Academic Strugglers,2.522,1.673,0.488,14,2.5,No,No,No,School Fee Support,15000.0,2.296,0.9387
58,9,Kakamega Forest Secondary,14,Girl,1,Q1 — Lowest,5,6.34,Shared device,1.0,Yes,-1.016,2,No,Low,4,1,0.249,No,Yes,Yes,1,Still enrolled,Academic Strugglers,3.016,1.817,0.499,4,2.5,No,No,No,School Fee Support,15000.0,2.483,0.9225
59,14,Bungoma West Secondary,16,Girl,4,Q4 — High,2,6.27,Shared device,1.0,No,0.535,0,No,Moderate,7,1,0.205,No,Yes,Yes,1,Still enrolled,Stable Achievers,-0.535,1.213,0.305,14,1.5,No,No,No,,,,0.9737
60,6,Mombasa Coast Secondary,17,Girl,1,Q1 — Lowest,8,,Personal device,2.0,Yes,-1.385,1,No,Moderate,11,2,0.31,No,No,Yes,1,Still enrolled,Health-Constrained,2.385,,0.56,22,2.0,No,No,No,School Fee Support,15000.0,3.309,0.6164
61,20,Busia Border Secondary,13,Boy,1,Q1 — Lowest,6,18.96,No access,0.0,Yes,-2.521,3,No,Moderate,7,1,0.269,No,No,Yes,1,Still enrolled,Academic Strugglers,5.521,2.948,0.519,14,1.0,Yes,Yes,Yes,School Fee Support,15000.0,4.192,0.6159
62,5,Nakuru Valley Secondary,16,Boy,3,Q3 — Middle,6,14.64,Personal device,2.0,Yes,-0.721,2,No,Low,5,2,0.209,No,,Yes,1,Still enrolled,Stable Achievers,2.721,1.332,0.359,5,,Yes,No,No,,,,0.9596
63,19,Isiolo North Secondary,15,Girl,1,Q1 — Lowest,10,9.13,No access,0.0,Yes,-1.254,3,No,Low,10,0,0.225,No,Yes,Yes,1,Still enrolled,Academic Strugglers,4.254,2.457,0.475,10,2.0,Yes,Yes,Yes,School Fee Support,15000.0,2.775,0.8477
64,18,Narok Savannah Secondary,17,Girl,3,Q3 — Middle,3,3.55,No access,0.0,Yes,-1.485,2,No,Moderate,17,1,,No,,Yes,1,Still enrolled,Health-Constrained,3.485,1.778,,34,,No,No,Yes,Health & Attendance Support,5000.0,2.214,0.8755
65,20,Busia Border Secondary,16,Girl,1,Q1 — Lowest,4,5.49,No access,0.0,Yes,-1.728,2,No,Low,1,1,0.257,No,No,No,0,Financial Instability,Academic Strugglers,3.728,2.275,0.507,1,1.0,No,No,Yes,School Fee Support,15000.0,2.563,0.8876
66,16,Kericho Highlands Secondary,13,Boy,3,Q3 — Middle,6,10.73,No access,0.0,Yes,-0.087,1,No,Low,7,1,,No,No,Yes,1,Still enrolled,Academic Strugglers,1.087,2.136,,7,1.0,Yes,No,Yes,,,,0.8619
67,11,Kitale Plains Secondary,16,Boy,2,Q2 — Low,2,20.0,No access,0.0,Yes,-2.087,3,No,Low,3,1,0.219,No,No,Yes,1,Still enrolled,Academic Strugglers,5.087,2.8,0.419,3,1.0,Yes,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.943,0.763
68,13,Meru Mountain Secondary,17,Girl,1,Q1 — Lowest,5,0.65,No access,0.0,No,-0.657,2,No,Moderate,13,0,0.32,No,No,No,0,Financial Instability,Health-Constrained,2.657,2.032,0.57,26,0.0,No,No,Yes,School Fee Support,15000.0,3.155,0.8074
69,5,Nakuru Valley Secondary,13,Girl,3,Q3 — Middle,4,3.0,No access,0.0,Yes,-0.491,2,No,Low,6,1,0.24,No,Yes,Yes,1,Still enrolled,Stable Achievers,2.491,1.75,0.39,6,2.0,No,No,Yes,,,,0.9768
70,7,Eldoret Highlands Secondary,16,Girl,1,Q1 — Lowest,5,1.29,No access,0.0,Yes,-1.86,1,No,Low,6,1,0.32,No,Yes,No,0,Financial Instability,Academic Strugglers,2.86,2.065,0.57,6,2.0,No,No,Yes,School Fee Support,15000.0,3.155,0.8729
71,10,Nyeri Ridge Secondary,13,Girl,4,Q4 — High,5,5.45,Personal device,2.0,Yes,-0.025,1,No,Low,3,2,0.196,No,No,Yes,1,Still enrolled,Stable Achievers,1.025,0.672,0.296,3,2.0,No,No,No,,,,0.9803
72,19,Isiolo North Secondary,13,Girl,5,Q5 — Highest,4,8.94,No access,0.0,No,0.715,1,No,Low,8,0,0.208,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.285,1.647,0.258,8,1.0,Yes,No,Yes,,,,0.9737
73,16,Kericho Highlands Secondary,14,Girl,1,Q1 — Lowest,6,5.29,Shared device,1.0,Yes,-0.328,1,Yes,Low,5,2,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,1.328,1.764,0.57,5,1.5,No,No,No,School Fee Support,15000.0,2.969,0.9337
74,12,Garissa Horizon Secondary,15,Boy,2,Q2 — Low,2,5.83,No access,0.0,No,-0.852,2,No,Low,1,1,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,2.852,2.091,0.52,1,0.0,No,No,Yes,School Fee Support,15000.0,2.875,0.9418
75,12,Garissa Horizon Secondary,16,Girl,3,Q3 — Middle,3,5.13,Shared device,1.0,Yes,-1.259,1,Yes,Moderate,12,0,0.278,No,No,Yes,1,Still enrolled,Health-Constrained,2.259,1.357,0.428,24,1.5,No,No,No,,,,0.9469
76,9,Kakamega Forest Secondary,13,Boy,2,Q2 — Low,7,2.48,Personal device,2.0,Yes,-2.024,1,No,Low,5,2,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,3.024,0.924,0.52,5,2.0,No,No,No,School Fee Support,15000.0,2.924,0.9269
77,9,Kakamega Forest Secondary,13,Boy,3,Q3 — Middle,5,4.24,No access,0.0,Yes,0.073,1,No,Moderate,10,1,0.254,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.927,1.812,0.404,20,2.0,No,No,Yes,,,,0.9611
78,19,Isiolo North Secondary,16,Girl,1,Q1 — Lowest,6,4.32,Shared device,1.0,Yes,-0.992,3,No,Low,4,1,0.227,No,No,Yes,1,Still enrolled,Academic Strugglers,3.992,1.716,0.477,4,1.5,No,Yes,No,School Fee Support,15000.0,2.447,0.9609
79,1,Kilimani Day Secondary,14,Boy,2,Q2 — Low,6,2.94,Personal device,2.0,Yes,0.071,0,No,Moderate,13,1,0.32,No,No,Yes,1,Still enrolled,Health-Constrained,-0.071,0.947,0.52,26,2.0,No,No,No,,,,0.975
80,7,Eldoret Highlands Secondary,15,Boy,2,Q2 — Low,7,6.98,Shared device,1.0,Yes,-1.255,1,No,Low,3,0,,No,No,No,0,Household Pressure,Academic Strugglers,2.255,1.649,,3,1.5,No,No,No,School Fee Support,15000.0,1.305,0.8958
81,9,Kakamega Forest Secondary,15,Boy,3,Q3 — Middle,6,14.77,Personal device,2.0,Yes,-0.492,1,No,Low,6,1,0.285,No,No,Yes,1,Still enrolled,Academic Strugglers,1.492,1.338,0.435,6,2.0,Yes,No,No,School Fee Support,15000.0,1.796,0.9125
82,14,Bungoma West Secondary,15,Girl,3,Q3 — Middle,4,3.5,Personal device,2.0,Yes,-1.821,2,No,Low,2,0,,No,No,Yes,1,Still enrolled,Stable Achievers,3.821,0.775,,2,2.0,No,No,No,,,,0.862
83,9,Kakamega Forest Secondary,14,Boy,3,Q3 — Middle,7,,No access,0.0,No,-1.206,1,No,High,17,2,,No,No,No,0,Health Related,Health-Constrained,2.206,,,51,0.0,No,No,Yes,Health & Attendance Support,5000.0,2.119,0.7994
84,7,Eldoret Highlands Secondary,17,Girl,4,Q4 — High,7,7.12,,,Yes,1.021,0,No,Low,4,1,0.184,No,Yes,Yes,1,Still enrolled,Stable Achievers,-1.021,,0.284,4,,No,No,No,,,,0.9852
85,2,Nyandarua Mixed Secondary,13,Boy,5,Q5 — Highest,5,2.34,No access,0.0,No,-0.92,0,No,Low,11,2,0.169,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.92,1.317,0.219,11,1.0,No,No,Yes,,,,0.9756
86,6,Mombasa Coast Secondary,16,Girl,1,Q1 — Lowest,5,17.94,No access,0.0,No,-0.856,1,No,Low,5,1,0.292,No,Yes,Yes,1,Still enrolled,Academic Strugglers,1.856,2.897,0.542,5,1.0,Yes,No,Yes,School Fee Support,15000.0,3.532,0.6192
87,3,Kisumu Lakeside Secondary,15,Girl,3,Q3 — Middle,3,19.39,No access,0.0,Yes,-0.722,3,No,Low,3,1,0.222,No,,No,0,Commute Distance,Academic Strugglers,3.722,2.569,0.372,3,,Yes,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.085,0.7829
88,15,Embu Sunrise Secondary,13,Girl,2,Q2 — Low,5,,Shared device,1.0,Yes,-1.798,1,No,Low,4,1,0.287,No,Yes,Yes,1,Still enrolled,Academic Strugglers,2.798,,0.487,4,2.5,No,No,No,School Fee Support,15000.0,2.849,0.8894
89,9,Kakamega Forest Secondary,17,Boy,2,Q2 — Low,5,5.56,No access,0.0,Yes,0.076,1,No,Low,2,1,0.241,No,Yes,Yes,1,Still enrolled,Academic Strugglers,0.924,2.078,0.441,2,2.0,No,No,Yes,,,,0.9622
90,5,Nakuru Valley Secondary,16,Girl,4,Q4 — High,4,0.83,Shared device,1.0,Yes,-0.693,1,No,Low,3,1,0.247,No,No,Yes,1,Still enrolled,Stable Achievers,1.693,0.941,0.347,3,1.5,No,No,No,,,,0.9908
91,11,Kitale Plains Secondary,13,Boy,3,Q3 — Middle,2,7.3,No access,0.0,Yes,-0.972,0,Yes,Moderate,8,0,0.222,No,No,Yes,1,Still enrolled,Stable Achievers,0.972,1.965,0.372,16,1.0,No,No,Yes,,,,0.9817
92,10,Nyeri Ridge Secondary,15,Boy,2,Q2 — Low,1,12.6,Shared device,1.0,Yes,0.918,0,Yes,Low,2,0,0.305,No,No,Yes,1,Still enrolled,Academic Strugglers,-0.918,1.93,0.505,2,1.5,Yes,No,No,School Fee Support,15000.0,2.641,0.964
93,10,Nyeri Ridge Secondary,13,Girl,1,Q1 — Lowest,5,,No access,0.0,Yes,-2.116,2,No,Low,6,0,0.264,No,No,Yes,1,Still enrolled,Academic Strugglers,4.116,,0.514,6,1.0,No,No,Yes,School Fee Support,15000.0,3.314,0.7392
94,12,Garissa Horizon Secondary,13,Girl,4,Q4 — High,5,16.57,Shared device,1.0,No,-0.158,1,Yes,Low,5,0,,No,No,Yes,1,Still enrolled,Stable Achievers,1.158,1.729,,5,0.5,Yes,No,No,,,,0.9037
95,13,Meru Mountain Secondary,14,Girl,4,Q4 — High,8,7.82,Shared device,1.0,Yes,-1.434,3,No,High,16,1,0.261,No,Yes,Yes,1,Still enrolled,Health-Constrained,4.434,1.291,0.361,48,2.5,No,Yes,No,Health & Attendance Support,5000.0,2.251,0.8717
96,4,Machakos Hilltop Secondary,14,Boy,3,Q3 — Middle,3,8.98,No access,0.0,No,-0.823,1,No,Low,4,0,0.276,No,,Yes,1,Still enrolled,Academic Strugglers,1.823,2.049,0.426,4,,Yes,No,Yes,,,,0.9039
97,4,Machakos Hilltop Secondary,17,Girl,4,Q4 — High,8,5.56,Shared device,1.0,No,-0.211,2,No,Low,6,1,0.252,No,No,Yes,1,Still enrolled,Stable Achievers,2.211,1.178,0.352,6,0.5,No,No,No,,,,0.8672
