student_id,school_id,persona,ses_quintile,dropout_risk,retained,match_rank,intervention_id,intervention,persona_priority,signal_boost,fit_score,priority_score,unit_cost_kes,sponsor_action,owner
373,23,Health-Constrained,1,0.704,0,1,health_support,Health & Attendance,3.0,2.5,5.5,6.399,5000,Medical vouchers + attendance follow-up,School health partner
714,14,Academic Strugglers,1,0.698,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.37,8000,Fund remedial / catch-up classes,School + education NGO
441,7,Health-Constrained,2,0.696,0,1,health_support,Health & Attendance,3.0,2.5,5.5,6.361,5000,Medical vouchers + attendance follow-up,School health partner
629,30,Academic Strugglers,1,0.694,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.353,8000,Fund remedial / catch-up classes,School + education NGO
953,8,Academic Strugglers,2,0.694,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.353,8000,Fund remedial / catch-up classes,School + education NGO
225,27,Academic Strugglers,1,0.694,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.352,8000,Fund remedial / catch-up classes,School + education NGO
630,41,Academic Strugglers,1,0.693,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.347,8000,Fund remedial / catch-up classes,School + education NGO
361,23,Health-Constrained,2,0.691,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.342,5000,Medical vouchers + attendance follow-up,School health partner
157,13,Health-Constrained,1,0.691,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.339,5000,Medical vouchers + attendance follow-up,School health partner
61,46,Academic Strugglers,1,0.687,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.324,8000,Fund remedial / catch-up classes,School + education NGO
571,47,Academic Strugglers,1,0.681,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.295,8000,Fund remedial / catch-up classes,School + education NGO
344,16,Academic Strugglers,1,0.679,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.289,8000,Fund remedial / catch-up classes,School + education NGO
986,36,Academic Strugglers,1,0.679,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.289,8000,Fund remedial / catch-up classes,School + education NGO
142,27,Academic Strugglers,1,0.679,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.288,8000,Fund remedial / catch-up classes,School + education NGO
280,33,Academic Strugglers,1,0.676,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.275,8000,Fund remedial / catch-up classes,School + education NGO
274,34,Academic Strugglers,1,0.671,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.252,8000,Fund remedial / catch-up classes,School + education NGO
435,19,Academic Strugglers,2,0.669,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.243,8000,Fund remedial / catch-up classes,School + education NGO
388,28,Academic Strugglers,1,0.662,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.215,8000,Fund remedial / catch-up classes,School + education NGO
273,34,Health-Constrained,1,0.659,0,1,health_support,Health & Attendance,3.0,2.5,5.5,6.199,5000,Medical vouchers + attendance follow-up,School health partner
960,40,Academic Strugglers,1,0.654,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.177,8000,Fund remedial / catch-up classes,School + education NGO
22,46,Health-Constrained,1,0.646,0,1,health_support,Health & Attendance,3.0,2.5,5.5,6.143,5000,Medical vouchers + attendance follow-up,School health partner
572,42,Academic Strugglers,1,0.646,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.143,8000,Fund remedial / catch-up classes,School + education NGO
732,18,Academic Strugglers,1,0.645,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.138,8000,Fund remedial / catch-up classes,School + education NGO
190,31,Academic Strugglers,1,0.645,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.137,8000,Fund remedial / catch-up classes,School + education NGO
103,2,Academic Strugglers,1,0.643,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.127,8000,Fund remedial / catch-up classes,School + education NGO
228,7,Academic Strugglers,1,0.642,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.123,8000,Fund remedial / catch-up classes,School + education NGO
469,31,Health-Constrained,1,0.641,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.12,5000,Medical vouchers + attendance follow-up,School health partner
34,22,Academic Strugglers,1,0.639,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.113,8000,Fund remedial / catch-up classes,School + education NGO
436,44,Health-Constrained,2,0.637,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.105,5000,Medical vouchers + attendance follow-up,School health partner
757,39,Academic Strugglers,1,0.637,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.103,8000,Fund remedial / catch-up classes,School + education NGO
330,18,Academic Strugglers,1,0.635,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.094,8000,Fund remedial / catch-up classes,School + education NGO
107,35,Health-Constrained,2,0.635,0,1,health_support,Health & Attendance,3.0,2.5,5.5,6.093,5000,Medical vouchers + attendance follow-up,School health partner
684,43,Health-Constrained,1,0.634,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.089,5000,Medical vouchers + attendance follow-up,School health partner
511,42,Health-Constrained,2,0.631,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.075,5000,Medical vouchers + attendance follow-up,School health partner
539,3,Academic Strugglers,1,0.629,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.067,8000,Fund remedial / catch-up classes,School + education NGO
868,44,Health-Constrained,1,0.627,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.06,5000,Medical vouchers + attendance follow-up,School health partner
814,15,Academic Strugglers,2,0.625,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.049,8000,Fund remedial / catch-up classes,School + education NGO
375,33,Health-Constrained,2,0.624,0,1,health_support,Health & Attendance,3.0,2.5,5.5,6.047,5000,Medical vouchers + attendance follow-up,School health partner
551,27,Academic Strugglers,1,0.623,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.039,8000,Fund remedial / catch-up classes,School + education NGO
791,15,Health-Constrained,2,0.62,0,1,health_support,Health & Attendance,3.0,2.5,5.5,6.029,5000,Medical vouchers + attendance follow-up,School health partner
761,9,Academic Strugglers,1,0.62,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.028,8000,Fund remedial / catch-up classes,School + education NGO
544,45,Health-Constrained,1,0.62,1,1,health_support,Health & Attendance,3.0,2.5,5.5,6.027,5000,Medical vouchers + attendance follow-up,School health partner
123,36,Academic Strugglers,1,0.617,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.016,8000,Fund remedial / catch-up classes,School + education NGO
156,45,Academic Strugglers,2,0.615,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.007,8000,Fund remedial / catch-up classes,School + education NGO
946,10,Academic Strugglers,2,0.615,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.005,8000,Fund remedial / catch-up classes,School + education NGO
134,3,Academic Strugglers,1,0.614,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.0,8000,Fund remedial / catch-up classes,School + education NGO
347,33,Academic Strugglers,2,0.614,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,6.0,8000,Fund remedial / catch-up classes,School + education NGO
736,5,Academic Strugglers,1,0.612,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.994,8000,Fund remedial / catch-up classes,School + education NGO
180,42,Academic Strugglers,2,0.611,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.989,8000,Fund remedial / catch-up classes,School + education NGO
827,18,Academic Strugglers,1,0.61,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.984,8000,Fund remedial / catch-up classes,School + education NGO
56,28,Academic Strugglers,1,0.61,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.983,8000,Fund remedial / catch-up classes,School + education NGO
922,40,Academic Strugglers,1,0.609,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.982,8000,Fund remedial / catch-up classes,School + education NGO
264,33,Academic Strugglers,1,0.609,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.98,8000,Fund remedial / catch-up classes,School + education NGO
15,34,Academic Strugglers,1,0.608,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.976,8000,Fund remedial / catch-up classes,School + education NGO
55,23,Academic Strugglers,2,0.608,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.976,8000,Fund remedial / catch-up classes,School + education NGO
638,5,Academic Strugglers,1,0.608,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.974,8000,Fund remedial / catch-up classes,School + education NGO
431,5,Academic Strugglers,1,0.607,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.972,8000,Fund remedial / catch-up classes,School + education NGO
822,11,Academic Strugglers,1,0.607,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.969,8000,Fund remedial / catch-up classes,School + education NGO
618,22,Academic Strugglers,2,0.605,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.963,8000,Fund remedial / catch-up classes,School + education NGO
806,19,Academic Strugglers,1,0.604,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.957,8000,Fund remedial / catch-up classes,School + education NGO
445,6,Academic Strugglers,2,0.602,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.95,8000,Fund remedial / catch-up classes,School + education NGO
412,37,Health-Constrained,1,0.602,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.949,5000,Medical vouchers + attendance follow-up,School health partner
668,33,Academic Strugglers,1,0.601,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.945,8000,Fund remedial / catch-up classes,School + education NGO
990,39,Academic Strugglers,1,0.601,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.945,8000,Fund remedial / catch-up classes,School + education NGO
338,6,Academic Strugglers,2,0.598,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.93,8000,Fund remedial / catch-up classes,School + education NGO
342,10,Health-Constrained,2,0.598,0,1,health_support,Health & Attendance,3.0,2.5,5.5,5.929,5000,Medical vouchers + attendance follow-up,School health partner
879,11,Health-Constrained,2,0.593,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.909,5000,Medical vouchers + attendance follow-up,School health partner
738,47,Academic Strugglers,1,0.593,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.908,8000,Fund remedial / catch-up classes,School + education NGO
457,8,Academic Strugglers,2,0.592,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.905,8000,Fund remedial / catch-up classes,School + education NGO
36,16,Academic Strugglers,2,0.59,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.897,8000,Fund remedial / catch-up classes,School + education NGO
577,15,Academic Strugglers,2,0.59,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.894,8000,Fund remedial / catch-up classes,School + education NGO
532,10,Academic Strugglers,2,0.588,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.889,8000,Fund remedial / catch-up classes,School + education NGO
281,29,Academic Strugglers,1,0.588,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.887,8000,Fund remedial / catch-up classes,School + education NGO
448,26,Academic Strugglers,1,0.587,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.884,8000,Fund remedial / catch-up classes,School + education NGO
21,8,Academic Strugglers,1,0.587,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.882,8000,Fund remedial / catch-up classes,School + education NGO
781,28,Academic Strugglers,1,0.586,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.878,8000,Fund remedial / catch-up classes,School + education NGO
267,23,Academic Strugglers,1,0.585,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.873,8000,Fund remedial / catch-up classes,School + education NGO
176,29,Academic Strugglers,2,0.583,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.865,8000,Fund remedial / catch-up classes,School + education NGO
201,35,Academic Strugglers,1,0.582,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.862,8000,Fund remedial / catch-up classes,School + education NGO
243,47,Health-Constrained,3,0.582,0,1,health_support,Health & Attendance,3.0,2.5,5.5,5.86,5000,Medical vouchers + attendance follow-up,School health partner
3,2,Health-Constrained,2,0.581,0,1,health_support,Health & Attendance,3.0,2.5,5.5,5.858,5000,Medical vouchers + attendance follow-up,School health partner
269,4,Academic Strugglers,1,0.579,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.85,8000,Fund remedial / catch-up classes,School + education NGO
586,43,Academic Strugglers,3,0.578,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.843,8000,Fund remedial / catch-up classes,School + education NGO
581,16,Academic Strugglers,2,0.578,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.841,8000,Fund remedial / catch-up classes,School + education NGO
617,43,Health-Constrained,1,0.578,0,1,health_support,Health & Attendance,3.0,2.5,5.5,5.841,5000,Medical vouchers + attendance follow-up,School health partner
543,3,Health-Constrained,2,0.576,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.835,5000,Medical vouchers + attendance follow-up,School health partner
999,16,Academic Strugglers,2,0.574,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.825,8000,Fund remedial / catch-up classes,School + education NGO
554,1,Health-Constrained,2,0.574,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.824,5000,Medical vouchers + attendance follow-up,School health partner
832,2,Health-Constrained,3,0.573,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.819,5000,Medical vouchers + attendance follow-up,School health partner
100,26,Academic Strugglers,2,0.572,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.817,8000,Fund remedial / catch-up classes,School + education NGO
271,22,Health-Constrained,2,0.704,1,1,school_fee_support,School Fee Support,2.0,3.0,5.0,5.817,15000,Pay term fees / bursary,Sponsor / Bursary fund
352,4,Health-Constrained,1,0.571,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.813,5000,Medical vouchers + attendance follow-up,School health partner
597,11,Academic Strugglers,2,0.57,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.809,8000,Fund remedial / catch-up classes,School + education NGO
959,24,Health-Constrained,2,0.57,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.806,5000,Medical vouchers + attendance follow-up,School health partner
676,22,Health-Constrained,2,0.569,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.805,5000,Medical vouchers + attendance follow-up,School health partner
852,11,Academic Strugglers,1,0.569,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.802,8000,Fund remedial / catch-up classes,School + education NGO
182,44,Academic Strugglers,2,0.568,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.801,8000,Fund remedial / catch-up classes,School + education NGO
237,20,Academic Strugglers,2,0.568,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.801,8000,Fund remedial / catch-up classes,School + education NGO
170,1,Academic Strugglers,2,0.568,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.799,8000,Fund remedial / catch-up classes,School + education NGO
272,31,Academic Strugglers,1,0.568,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.798,8000,Fund remedial / catch-up classes,School + education NGO
701,37,Health-Constrained,1,0.568,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.798,5000,Medical vouchers + attendance follow-up,School health partner
16,9,Academic Strugglers,1,0.566,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.79,8000,Fund remedial / catch-up classes,School + education NGO
947,32,Academic Strugglers,3,0.566,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.789,8000,Fund remedial / catch-up classes,School + education NGO
870,6,Academic Strugglers,2,0.565,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.784,8000,Fund remedial / catch-up classes,School + education NGO
825,6,Academic Strugglers,2,0.564,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.78,8000,Fund remedial / catch-up classes,School + education NGO
212,4,Health-Constrained,2,0.563,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.779,5000,Medical vouchers + attendance follow-up,School health partner
773,30,Academic Strugglers,1,0.563,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.777,8000,Fund remedial / catch-up classes,School + education NGO
392,24,Academic Strugglers,1,0.562,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.774,8000,Fund remedial / catch-up classes,School + education NGO
545,24,Academic Strugglers,3,0.562,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.773,8000,Fund remedial / catch-up classes,School + education NGO
535,10,Academic Strugglers,1,0.56,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.763,8000,Fund remedial / catch-up classes,School + education NGO
164,32,Health-Constrained,1,0.559,0,1,health_support,Health & Attendance,3.0,2.5,5.5,5.759,5000,Medical vouchers + attendance follow-up,School health partner
962,11,Academic Strugglers,1,0.559,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.758,8000,Fund remedial / catch-up classes,School + education NGO
918,11,Academic Strugglers,2,0.558,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.756,8000,Fund remedial / catch-up classes,School + education NGO
398,14,Academic Strugglers,2,0.558,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.753,8000,Fund remedial / catch-up classes,School + education NGO
486,47,Academic Strugglers,2,0.556,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.745,8000,Fund remedial / catch-up classes,School + education NGO
987,43,Academic Strugglers,1,0.554,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.736,8000,Fund remedial / catch-up classes,School + education NGO
229,23,Academic Strugglers,2,0.553,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.734,8000,Fund remedial / catch-up classes,School + education NGO
894,36,Health-Constrained,2,0.553,0,1,health_support,Health & Attendance,3.0,2.5,5.5,5.734,5000,Medical vouchers + attendance follow-up,School health partner
598,24,Health-Constrained,1,0.552,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.731,5000,Medical vouchers + attendance follow-up,School health partner
519,19,Academic Strugglers,3,0.552,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.727,8000,Fund remedial / catch-up classes,School + education NGO
865,3,Academic Strugglers,1,0.551,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.724,8000,Fund remedial / catch-up classes,School + education NGO
135,13,Academic Strugglers,1,0.55,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.72,8000,Fund remedial / catch-up classes,School + education NGO
259,16,Academic Strugglers,1,0.55,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.719,8000,Fund remedial / catch-up classes,School + education NGO
733,28,Health-Constrained,1,0.549,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.715,5000,Medical vouchers + attendance follow-up,School health partner
625,46,Academic Strugglers,2,0.547,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.706,8000,Fund remedial / catch-up classes,School + education NGO
334,46,Health-Constrained,1,0.676,1,1,school_fee_support,School Fee Support,2.0,3.0,5.0,5.705,15000,Pay term fees / bursary,Sponsor / Bursary fund
762,2,Academic Strugglers,1,0.676,1,1,school_fee_support,School Fee Support,2.0,3.0,5.0,5.705,15000,Pay term fees / bursary,Sponsor / Bursary fund
885,29,Health-Constrained,1,0.546,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.704,5000,Medical vouchers + attendance follow-up,School health partner
145,9,Academic Strugglers,1,0.546,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.703,8000,Fund remedial / catch-up classes,School + education NGO
890,14,Academic Strugglers,2,0.546,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.702,8000,Fund remedial / catch-up classes,School + education NGO
800,29,Health-Constrained,1,0.546,0,1,health_support,Health & Attendance,3.0,2.5,5.5,5.701,5000,Medical vouchers + attendance follow-up,School health partner
166,23,Academic Strugglers,3,0.545,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.7,8000,Fund remedial / catch-up classes,School + education NGO
325,8,Health-Constrained,1,0.545,0,1,health_support,Health & Attendance,3.0,2.5,5.5,5.7,5000,Medical vouchers + attendance follow-up,School health partner
360,14,Health-Constrained,2,0.545,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.698,5000,Medical vouchers + attendance follow-up,School health partner
895,36,Academic Strugglers,3,0.545,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.698,8000,Fund remedial / catch-up classes,School + education NGO
662,15,Academic Strugglers,1,0.544,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.693,8000,Fund remedial / catch-up classes,School + education NGO
219,45,Academic Strugglers,1,0.673,0,1,school_fee_support,School Fee Support,2.0,3.0,5.0,5.691,15000,Pay term fees / bursary,Sponsor / Bursary fund
938,1,Health-Constrained,2,0.673,1,1,school_fee_support,School Fee Support,2.0,3.0,5.0,5.691,15000,Pay term fees / bursary,Sponsor / Bursary fund
238,11,Health-Constrained,2,0.54,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.675,5000,Medical vouchers + attendance follow-up,School health partner
636,25,Health-Constrained,2,0.54,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.675,5000,Medical vouchers + attendance follow-up,School health partner
968,23,Academic Strugglers,2,0.538,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.669,8000,Fund remedial / catch-up classes,School + education NGO
256,39,Health-Constrained,2,0.536,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.66,5000,Medical vouchers + attendance follow-up,School health partner
559,44,Academic Strugglers,3,0.536,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.659,8000,Fund remedial / catch-up classes,School + education NGO
760,31,Health-Constrained,1,0.535,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.653,5000,Medical vouchers + attendance follow-up,School health partner
430,1,Health-Constrained,2,0.535,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.652,5000,Medical vouchers + attendance follow-up,School health partner
810,3,Health-Constrained,2,0.534,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.651,5000,Medical vouchers + attendance follow-up,School health partner
167,5,Academic Strugglers,2,0.53,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.631,8000,Fund remedial / catch-up classes,School + education NGO
250,15,Health-Constrained,1,0.529,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.626,5000,Medical vouchers + attendance follow-up,School health partner
965,6,Academic Strugglers,2,0.528,0,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.624,8000,Fund remedial / catch-up classes,School + education NGO
163,5,Academic Strugglers,3,0.528,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.622,8000,Fund remedial / catch-up classes,School + education NGO
159,2,Academic Strugglers,2,0.527,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.619,8000,Fund remedial / catch-up classes,School + education NGO
245,35,Academic Strugglers,1,0.654,0,1,school_fee_support,School Fee Support,2.0,3.0,5.0,5.617,15000,Pay term fees / bursary,Sponsor / Bursary fund
68,29,Health-Constrained,1,0.526,1,1,health_support,Health & Attendance,3.0,2.5,5.5,5.614,5000,Medical vouchers + attendance follow-up,School health partner
553,7,Health-Constrained,3,0.526,0,1,health_support,Health & Attendance,3.0,2.5,5.5,5.613,5000,Medical vouchers + attendance follow-up,School health partner
169,17,Academic Strugglers,2,0.525,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.612,8000,Fund remedial / catch-up classes,School + education NGO
712,32,Academic Strugglers,1,0.653,0,1,school_fee_support,School Fee Support,2.0,3.0,5.0,5.61,15000,Pay term fees / bursary,Sponsor / Bursary fund
493,6,Health-Constrained,3,0.525,0,1,health_support,Health & Attendance,3.0,2.5,5.5,5.609,5000,Medical vouchers + attendance follow-up,School health partner
640,5,Academic Strugglers,1,0.652,1,1,school_fee_support,School Fee Support,2.0,3.0,5.0,5.608,15000,Pay term fees / bursary,Sponsor / Bursary fund
353,41,Academic Strugglers,3,0.524,1,1,academic_tutoring,Academic Tutoring,3.0,2.5,5.5,5.604,8000,Fund remedial / catch-up classes,School + education NGO
